Martin Looter,2022-11-16T13:18:31Z,POOREsheeps looks like victims,0
Alexander Novicov,2022-10-30T16:14:13Z,I'm new to cycling and Rapha definitely inspired me a lot.,0
brianmcg321,2022-08-08T00:55:59Z,Take my money,0
ilton Boaventura,2022-07-21T23:14:26Z,👀From Brazil 🇧🇷🥰👏🏽👏🏾🤜🏾🤛🏾🚴🏾‍♂️,0
Ashwani Lingwal,2021-12-02T06:28:35Z,Loved each second of it! And felt it too,0
Vincent Volmer,2021-10-30T08:33:04Z,"That’s me😊, thanks cycle brothers and sisters and Rapha for keeping the spirit alive🙏",0
Flaco Lacayo,2021-10-04T19:07:58Z,cool video.,0
Martin Gaurano,2021-10-04T10:58:39Z,What’s interesting is that I can relate to everything they’re saying. I guess that’s why we all ride.  There’s nothing like it.,0
Jan Možný,2021-08-02T11:40:37Z,Awesome.,0
Paul Romagnolo,2021-06-25T04:06:19Z,"I like her attitude to hill bombing, ' when you're in control and loseing it at the same time. '",0
Karl Adrian Aguro,2021-04-22T17:48:01Z,So inspiring to hear everyone sharing what cycling means to them. I definitely relate to ""Cycling is not a physical thing for me. It's more like a mental thing."" Bull's eye. I love cycling.,4
Alida Pinas,2021-03-24T13:31:26Z,"'You only pay with calories' that's funny, because actually..",1
Scott Bert,2021-03-04T19:38:29Z,These are my brothers and sisters. This is the perfect expression of me. Thank you Rapha.,1
BigCatMojo,2020-12-31T14:32:38Z,squirt the dog with your water bottle... ??,0
Erlangga Harjasaputra,2020-12-26T16:07:50Z,Cycling save my life,2
Akram Ali,2020-12-23T08:27:36Z,"I'm always shy to ride bikes, because I've grown up so much but i want to go back to my childhood to ride",0
Luigi Baker,2020-12-21T21:32:37Z,"So pretentious it wants to make me puke - sorry, but that's how I feel about Rapha. Got nowt to do with the roots of cycling.",1
Markus Joseph,2020-12-20T04:54:37Z,"I like how you use yours words to describe how it feels to ride, Brill",0
powerofpositive,2020-12-17T04:34:54Z,Great inspiring video!,0
Malcolm Thomas,2020-12-16T20:01:46Z,Beautiful,0
SolitaryRefinement,2020-12-12T22:52:32Z,"It's nice to know that one's not alone in those thoughts that they have on the road with no one else around, no one else listening, when there's nothing to stop you from pulling over for some relief, but something inside you says, keep going until you can't. Then when you do stop, the pain isn't any less, but it feels gooder (yeah, I just made that word up) and it's a guilt free break. Your only competition is yourself.",1
copali pì,2020-12-09T21:26:14Z,Did everyone forget their glasses?,1
Coffee Ride Socks,2020-12-09T13:27:09Z,we love those stories <3,0
