Blog Pedalare verso il cielo,2020-09-09T14:45:26Z,Questi i video che preferisco ! 👍,0
Roxic12,2018-01-13T20:58:19Z,"Nice inspiring video, but the Rapha shoes are ugly.",0
Triple Ace,2017-04-19T02:22:30Z,Wow. Indescribable view.,0
Greg Wyld,2016-11-29T05:43:54Z,That's where I ski. Interesting to see it in summer,1
febriyant abidin,2016-11-02T05:47:36Z,nice panorama,0
pierreemilemorin,2016-09-16T21:34:39Z,"Hello,What is the music 2:30+ ? It reminds me of Steven Wilson's music on Hand.Cannot.EraseThank you",1
Joe Chow,2016-09-02T11:53:01Z,the music of last few minutes is awesome,0
温泉アドベンチャー/ MatsuMatChannel,2016-08-28T16:25:03Z,good,0
Andrew Herrmann,2016-05-26T21:37:50Z,Inspiring video. Looks like the riders enjoyed the ride and felt great achievement,0
Jon James,2016-05-22T00:36:58Z,Finally a video that shows that you dont have to have beard or mustache to enjoy riding.,18
Brazuca Real,2016-04-06T03:26:36Z,"This is the first Bad rapha video. Bad music, boing and slow riders ",5
RLE82,2016-03-26T21:08:07Z,the pink hubs/headsets you see on a lot of the Rapha videos are the made by Chris King or someone else?,0
addie Baaddiee,2016-03-21T11:32:12Z,become rich,0
Narudh Areesorn,2016-03-20T19:59:07Z,So how does one join the Rapha Prestige ride?,1
Rômulo OGS,2016-03-19T22:08:12Z,Parabéns pelo vídeo e pela competição! Que vontade de participar!,0
