End Censorship,2023-01-25T19:29:04Z,"Nelson is a great gentleman.  I met him at the Worlds in 1991, Stuttgart, as well as at a Six Day race.",0
blueandrewblue,2022-01-31T15:41:00Z,"Wonder if Nelson remembers racing at the Silverdome (Tasmania, Australia) back in the 80s, and signing an autograph for a star-struck kid in the infield.",0
M R CART,2021-05-23T02:40:38Z,THANKU!!! I met Nelson Vales at the Bike Expo NYC and at a GranFondo NYC!!! 22mai21,0
Pat Premdas,2021-05-11T22:56:29Z,"I wonder who actually disliked this video and why? I can think of a couple of reasons, why they disliked it...",0
Nicole Dove,2021-04-15T15:39:10Z,"Got to ride with the Cheetah last year. It was my very first group ride. Told him I was slow going up the hills, he told me he was too. Very encouraging. Got to interview him on my podcast. Truly a history making gem.",0
David Anderson,2020-09-06T18:29:42Z,Quality,0
SWED510,2020-05-03T16:42:43Z,Video was like a breath of fresh air.,1
Old Man Cycling,2019-12-12T10:58:58Z,"I met Nelson in 2018, I remember watching him in the olympics and I was excited to speak with him.  What a wonderful person",1
Blaise Nealon,2019-05-22T03:00:15Z,"Great to meet Nelson recently at Rapha DC, a great gentleman! Ride on Nelson!!",1
Cheap Rent & Fast Cars,2019-05-06T18:32:43Z,"Nellie, best in the biz.",0
James Maloney,2019-05-03T08:04:02Z,Great short film. Would love to see a longer version.,0
Julian Allen,2019-04-28T21:59:51Z,Miss Florence has an amazing laugh. Worth watching just for that,1
Benjamin Zachwieja,2019-04-27T02:13:19Z,I was straight New York...👍,0
Nicolas Castro,2019-04-26T01:05:00Z,"Grossssso, toda la onda!!!",0
Gabriel Scott,2019-04-25T22:59:02Z,Met him two years ago at RAGBRAI Told me to relax and not worry about going fast all the timeReally cool guy,6
Paul Sanchez,2019-04-25T22:21:45Z,Awesome,0
1777DK,2019-04-25T18:07:34Z,I watched Cheetah in Quicksilver just three weeks ago. That film got me hooked on cycling some 30 years ago.,1
Chuck List,2019-04-25T15:29:59Z,Yeah Nelson!!! Haven't seen you since the SKYW days ;),0
Gabriel Cervantes,2019-04-25T15:23:50Z,Nice work! Thanks for using my stills from the ‘84 Olympics 🚴🏾‍♂️😊,2
Target Pace,2019-04-25T15:04:39Z,So inspired,0
howdyitsdavid,2019-04-25T14:48:42Z,AWESOME,0
Anello Grande,2019-04-25T14:23:42Z,Need more on the Cheetah. Amazing cyclist!,0
Brett Fyfield,2019-04-25T13:04:24Z,"So good, this guy means so much to so many. Sick edit!",2
Brandon,2019-04-25T12:54:59Z,"Awesome, really inspirational. Keep up the good work Rapha",7
Walter Davis,2019-04-25T12:44:31Z,That's Fire!!!!,2
ADAME【動画】,2019-04-25T12:01:46Z,1,1
