Yee Feng,2019-04-09T14:04:03Z,CANNOT wait to see this one! Huge congrats to Bettiol and the entire team for conquering Flanders in such epic fashion!!!,0
Just the Pip,2019-04-08T17:34:06Z,"Ugggghhh, can't wait for this one.",0
Costas Mandylor,2019-04-08T16:25:14Z,Can't wait! 💪🏻,0
daniel robertson,2019-04-08T15:55:20Z,"Can’t wait, also looking forward to the party @Boulder clubhouse",0
아이원스,2019-04-08T14:26:28Z,what a cycling.. i became one of a fan of ef education first. was brilliant last night.,1
Cannondale Bicycles,2019-04-08T14:06:50Z,Forever bonded in this moment! What a feeling.,4
Nicolas Castro,2019-04-08T12:55:43Z,"Grande Alberto!!! Suban el vídeo, quiero verlo tasas, abrazo desde Bahía Blanca Buenos Aires Argentina!!!",0
Hc Maui,2019-04-08T12:41:39Z,Alberto we’re proud of you!!! You were great yesterday!! Here in Tuscany we’re still celebrating! Grazie Alberto!!,3
Sam,2019-04-08T12:32:25Z,Yeah this is gunna be great.  Surely everything this new EF + Rapha partnership is all about - the spirit of cycling.  Congrats all,1
F K,2019-04-08T12:23:10Z,Its a monumental win for Canonndale/EF/Drapac and you make mowie thats 34 sec  long if Michelton Scot would have won it would have been epic Like star wars saga seriously  just saying embrace the moment!,0
