Fernando Fert,2018-08-13T01:14:59Z,What a couple of hipsters!,0
eric .Landes,2018-08-10T17:42:09Z,"I fucking hate Team Sky, but seeing Thomas surrounded by his fans is pretty touching. And JAF shreds.",0
Nick Phelps,2018-08-09T18:16:29Z,"Loved these videos, kudos Rapha",0
Chris DiStefano,2018-08-02T04:06:53Z,"More conversations with Juan, please, and fewer with children. As in zero. Bravo, Rapha, this was a fun Tour to spend with you all.",0
s3cr3td00rindar00m,2018-08-01T17:40:16Z,THE look when you get L’adittion,0
M Smith,2018-08-01T15:20:06Z,Great stuff fellas,0
Eddie Jack,2018-08-01T12:03:49Z,Loving these vids.,1
Ed Von Schleck,2018-07-31T22:07:31Z,Fuck Fur,0
Just the Pip,2018-07-31T20:43:15Z,Rapha x KookSlams. Nice.,0
Theo Zeal,2018-07-31T20:25:54Z,"Love the show, whats the music at the beginning?",0
David Bell,2018-07-31T15:53:32Z,"Great job guys, loved the videos at the Tour",0
traderz13,2018-07-31T11:29:11Z,How do i get their job???,3
