Tim Block,2022-10-22T05:13:51Z,"Beautiful, soothing voice.",0
Jake S,2021-10-15T23:04:12Z,one of the best!,0
Levente Juhasz,2021-04-29T16:44:13Z,Where is the heart button?,0
Samuel Morris,2021-03-30T20:21:01Z,"Uff, very very nice video, no joke, so well told and very delicate.",0
Rahul Barca,2021-02-15T00:47:09Z,Loved it.... Its a poetry to me.,0
John Lennon,2020-10-27T09:17:45Z,* à vélo,0
Henri De Carvalho,2020-05-18T20:25:11Z,"As a Parisian rider, this video emphasis a phantasm about Paris. The reality is that Paris is small, the traffic over congestioned, the city polluted by traffic and it is getting worse every year. It is getting annoying to see again and again the city shown like a pleasant old city with a village atmosphère. it is not the reality, it is not Paris ! it is fairy  tales for that hipster/voutuber genra .",9
금개구리 -LIFE:RIDE,2020-03-27T04:22:08Z,"After all, a woman riding a bicycle is beautiful.",0
Michael Montalvo,2019-12-25T16:20:31Z,Beautiful video. Captures the love of cycling.,1
Thomas Matta,2018-09-24T00:24:08Z,tu es si belle💟........,1
Sonia Rios,2018-08-14T22:22:06Z,you are so beautiful...,1
M Smith,2018-02-19T18:06:06Z,Brilliant - must do a ride out to Vetheuil next time in Paris.  Thanks for that.,0
francesco berio,2017-12-28T18:27:12Z,soundtrack??,0
L.J. FZR,2017-11-15T01:59:50Z,The world needs more humans like this beautiful and perfect person.,0
light riding,2017-10-31T00:38:58Z,bon,0
Gustav Thuesen,2017-09-28T20:04:44Z,Lovely. Make me wanna ride even though I've caught a bad cold...,1
Pelao Fernández,2017-09-26T19:00:18Z,Amazing. Thanks,1
Ricky Wijaya,2017-09-25T23:22:35Z,"Beautiful video, one of my favourite cities, and also one of my favourite video from the Rapha Ride series so far. I hope you let me know when you're doing Sydney next (as a Sydneysider!).",5
Tsukuru,2017-09-25T20:50:07Z,Do BERLIN!,3
A Totally Legit Nigerian Prince,2017-09-25T17:04:23Z,Careful of the explosives,9
Ilham Hidayatullah,2017-09-25T15:04:56Z,❤️,0
Mani Matter,2017-09-25T14:41:13Z,Rapha😃👍,1
