meccanised,2021-04-21T11:19:23Z,That was a damn hot day in the saddle. I rode down to watch and it was HOT.,0
T T,2020-11-24T06:38:26Z,Shout out to Elly Woods. What a great woman.,1
robbydjones,2020-08-19T11:33:37Z,That girl is so supportive. Kinda jealous.,0
21cup,2020-07-30T08:36:09Z,""Any other sport like this where you can ride the course ahead of the race?"" You've clearly never trashed your car down a rally stage...,0
Sam Teller,2020-05-07T17:29:37Z,Is the music in this the same that's used in the Zwift menu???,0
茄子サイクリング nas cycle studio,2020-02-09T03:20:37Z,first bgm teach me.,0
rswc55,2019-07-10T22:52:16Z,"Brilliant, brilliant videos.  I love this team and it makes me love this sport even more.",1
Jan Jansen,2019-06-30T20:20:34Z,What a lovely girl!,2
Morgan Brown,2019-02-12T21:13:49Z,Have you guys run out of content already? I thought you were publishing weekly stuff?,0
Adam,2019-02-01T13:26:46Z,Brilliant video this! More more more please! (PS please release a Core version of the EF kit!),0
dontmindmymind,2019-01-27T14:33:56Z,some of the pep talk on the radio was hilarious. ""you're the 3rd best rider in the world....you ride wherever the fuck you want.."" ??? lmaooooo. great video though. Ef are the best bunch.,0
James Rollins,2019-01-27T03:42:19Z,where's Taylor?,1
Aaron Householder,2019-01-24T03:24:59Z,"The pink fade kit and the crazy bike paint scheme are growing on me. And these videos, quality work, fam.",0
Urby 1,2019-01-24T01:31:24Z,Great stuff man!,0
Muppet Lord,2019-01-23T19:52:07Z,Should have listened to Nathan Haas : https://youtu.be/gVyipUan9ZA?t=460,0
Nuno Bértolo,2019-01-23T18:55:48Z,BOM TRABALHO!,0
Stuart McGill,2019-01-23T18:54:18Z,Cool footage. Thanks for uploading.,0
richard knight,2019-01-23T17:39:03Z,"first rate video, well done",0
Ed Whiebon,2019-01-23T16:42:28Z,Don't like it. Way too much horse play and giggling. Just too silly for me.,0
Alexander Hörtnagl,2019-01-23T15:57:14Z,Very nice vid and super team effort. Looks like a South African lad pipped him each time. Make Darryl a offer to join your team.... Lol,0
Mick O Neill,2019-01-23T15:40:43Z,Lucky guy Mike.Great support from your other half.Hope you win a monument.,0
Pedro Hack,2019-01-23T14:47:44Z,They're all hipsters just look at the moustaches...,0
Tom Ford,2019-01-23T09:35:14Z,"Awesome, not sure what that old school video play overlay is about but it doesnt add anything to the video",0
Matthew O. Sloan,2019-01-23T04:58:09Z,FUN&SERIOUS I love it!,0
Frank Kottwitz,2019-01-23T01:35:36Z,Great stuff love it,0
Christopher Merrick,2019-01-22T21:48:19Z,CANADA!!!!!!,0
Anthony Chapa,2019-01-22T20:42:19Z,"I HOPE these videos with Team EF keep coming our way. Such awesome insight into the riders' thoughts and emotions. I am liking the vibe from the team and how they fight for one another and just want to race. Also, I LOVE the team kit and training kit. The wife may get me the training jersey. :)",0
Florian Friedrich,2019-01-22T17:02:57Z,amazing content,0
Mani Matter,2019-01-22T16:10:03Z,Letzter,0
Benjamin Jones,2019-01-22T15:10:01Z,Can’t get the music from these videos out of my head! Is it available anywhere?,0
Timothy Topor,2019-01-22T14:19:34Z,Keep them coming please,0
Jason Hearne,2019-01-22T13:41:19Z,The 2019 RCC packs need to come with a stick on 'stache clearly.,9
BanjaxedSam,2019-01-22T12:38:15Z,"Great video again, I hope we will see these all season long. 👍🚴‍♂️",0
ajlongshanks,2019-01-22T11:22:55Z,we wanna see more of the bikes.,0
xgalvan1,2019-01-22T10:39:26Z,Elle supports Mike in quitting his job to be a pro cyclist meanwhile my wife gets pissed if I go on a long Saturday group ride.... I’m doing it wrong FML.  PS - More Jimmy Whelan please,6
Jack,2019-01-22T09:57:40Z,"Needs more Harry, topless, on a bike",0
Simon Knowles,2019-01-22T09:28:12Z,2:23 Matt Stephens.?,1
James McInerney,2019-01-22T09:22:46Z,These videos are sick. Music is on point!,0
t_payne95,2019-01-22T07:57:26Z,Will those hoodies pictured at 5:29 go on sale to the public? They look awesome,0
Rogue,2019-01-22T07:27:28Z,"What is that coffee Mikes drinking, looks fab. Great VT, good luck for this season 👍",1
Carlo Gironi,2019-01-22T07:23:54Z,Lachlan Morton ... like ...,0
Michele Graham,2019-01-22T06:41:45Z,Poor mans version of Mitchelton-Scott’s Back Stage Pass I’m afraid. Is Taylor Phinney Lachy Morton’s spirit animal?,4
カサカサ,2019-01-22T06:07:57Z,こういうの出してくれるのラファだけだよね,0
Sebastian Haeusler,2019-01-22T05:16:29Z,"These videos have been awesome, please keep them coming!",32
Ben Whitmore,2019-01-22T05:07:57Z,Amazing insights!,2
Elías Pereira,2019-01-22T04:58:59Z,I love the VHS filter!,7
