Junior,2020-11-17T16:11:20Z,niceeeeeee,0
ACDC.,2020-11-11T14:57:28Z,"Hahah really, this is stupid",0
James Johnston,2020-11-10T07:01:04Z,"Ah Peter Kennaugh, another rider I miss from the pro peloton.",1
Conza,2020-11-10T04:05:00Z,Can I run with them? ;o,0
Mike Prestage,2020-11-10T02:53:14Z,Headphone+bike=crash,1
Chipman Macdonald,2020-11-10T02:19:49Z,"For me personally, as a big audio buff, save your money. Apple EarPods Pro has many more years or R&D and are still King. These B&A ear phones are not in the same class as Apple and are the newest kids on the block when it comes to blue tooth rugged sporting wireless earphones. Only time will tell, and I’m sure DC Rainmaker on (YouTube) will do the analysis soon enough. (Probably a good choice for non Apple owners, along with Sony and Bose comparable options)",1
Sam Teller,2020-11-10T01:39:32Z,I thought this was going to be a collab with BANG energy drinks...,1
5AM Morning DAD,2020-11-10T00:11:28Z,Beautiful video and nice job 👏,1
Shane Williams,2020-11-09T21:37:27Z,Nicely produced advert with the race commentary voice over.👏,0
Hintonbro,2020-11-09T19:26:33Z,I wonder what other ‘lifestyle’ partnerships Rapha is working on ..,0
Hintonbro,2020-11-09T19:26:28Z,I wonder what other ‘lifestyle’ partnerships Rapha is working on ..,0
Lee Hadley MTB,2020-11-09T16:31:15Z,£300 is the price i've seen online ............... MIND BLOWN!!,1
Louis Sharp,2020-11-09T16:07:27Z,Getting these,0
Harrison,2020-11-09T15:28:20Z,"If they're the same price as the standard E8 Sport buds, that's fine. If they're more, then you're truly paying for the logo.",9
Matthew Wong,2020-11-09T14:01:57Z,Bye bye my money,3
MrDaveCee,2020-11-09T13:53:36Z,"£3,000 and come with a free packet of haribo",36
Koh PJ,2020-11-09T13:39:24Z,Rabuds 😂,1
BentBird,2020-11-09T13:08:37Z,Watts in my ears and out my legs,1
Jack Kang,2020-11-09T13:00:57Z,"Wallet, recently fucked to pieces by the Rapha x Palace collection: I am never going to financially recover from this",0
hans wuat,2020-11-09T12:52:57Z,overpriced + overpriced = instabuy,24
