Michael Dennis,2021-09-18T21:40:37Z,I guess not,0
mario M,2021-04-12T00:15:09Z,WOWW ! 👍🏻 Iceland,0
Beard on a Bike,2020-09-17T10:39:15Z,Cracking advert would like to see a vlog of the ride,0
Federico Their Only Portrait,2020-06-28T17:46:54Z,Remote gravel riding with tubes... WHY??,0
The Cyclist,2020-06-12T14:01:52Z,"Inspiring video to go out there and ride, #TheCyclist",1
Karen Chen,2020-04-04T04:36:02Z,"Looking forward a long version of video, the series of outskirts films.",0
Alex Grytsenko,2019-11-28T07:26:44Z,When I stop seeing inner tubes... When???,1
David O Brien,2019-11-27T23:26:52Z,Maybe on a mountain bike. Way gnarly brah,0
Aidan Shafland,2019-11-15T20:05:23Z,Is there going to be a long version of this? Love watching your videos,18
gunars treikals,2019-11-12T03:37:22Z,Finally you get to see famous corny bar in the rapha video.,0
traderz13,2019-11-01T00:11:06Z,What are the bikes?,0
xgalvan1,2019-11-01T00:01:19Z,Score by The Lachlan Brothers,2
ydnar,2019-10-31T20:28:45Z,Excellent video.  Epic shots. Best Gear !,1
FGK TV,2019-10-31T16:36:07Z,Was it shot on iPhone? :),4
J-Why ?,2019-10-31T14:50:46Z,"Looks amazing, but I would never want to do that 🤪",2
Peter Vollers,2019-10-31T13:45:00Z,Radness.,0
Sulfur Skies,2019-10-31T12:38:12Z,"Great products! However, the music is better suited for Outskirts 3.",4
금개구리 -LIFE:RIDE,2019-10-31T12:33:57Z,Wow!!!,0
ncls,2019-10-31T12:19:29Z,Crazy... but sooo good : ),0
ADAME【動画】,2019-10-31T12:14:11Z,NICE,1
Maximiliaan Meester,2019-10-31T12:00:34Z,Great video!,0
