てっちゃん,2022-10-14T13:56:17Z,nice,0
pzar,2020-06-08T20:15:43Z,Anyone know which LA route this is?,0
stsohgessi,2019-09-10T13:55:12Z,YYYYAAAAAAASSSSSSSSSSSSSS ! ! ! ! ! !! ! !,1
Dale Zapple,2018-11-30T17:22:57Z,"Hopefully Michigan winter isn't too harsh, I get cranky with too few rides",1
jay collins,2018-10-06T21:40:09Z,Cool bottle skills (again),1
Jinwoo Lee,2018-08-14T14:38:54Z,not rapha,1
BikeIt UK,2018-08-14T14:11:12Z,Nice! Good Video that about sums it up...All the best Andy,1
highway to health!,2018-07-28T11:19:55Z,Yes this is the answer!!!,1
R,2018-07-24T22:31:25Z,outstanding! And June 7th...... I love that day. Purple rain,1
Just Flo,2018-07-17T19:19:43Z,Doe anyone know if the specialized pizza rack fits on diverge like shown or are modification needed?,1
xgalvan1,2018-06-25T23:55:34Z,"The bottle spin that was featured in a previous years collection video returns, by the same rider!",2
Eric Jacobson,2018-06-21T20:34:51Z,"Weaving quickly in and out of traffic, the hand on the car trunk, riding on a sidewalk (really, who rides on sidewalks) while taking your jacket off, and skidding to a stop...none of this makes me want to ride with these people or wear Rapha clothes.",1
Vako Kvachakhia,2018-06-18T06:33:45Z,რა თქმა უნდა,0
weera warakul,2018-06-14T08:41:33Z,loveeeeee,2
jadenp,2018-06-09T09:54:38Z,Great vid! Liked the cadence at the end.,1
WONGKWONG14,2018-06-09T05:47:36Z,Cyclinkpeople,0
Lachlan Badenoch,2018-06-09T02:42:26Z,":-9 Lost what Rapha was founded on. Too much LA hipster, too little cyclist. Where's the ""glory through suffering""? Absent, sadly, in favor of heavy handed social judgement on those not cycling.  Not terrible, but a lame departure from what inspired Rapha's existence in the first place.",3
ciccioformaccio,2018-06-08T14:01:24Z,More I see the american landscapes and more I appreciate Europe. There's no game.,1
Chris Bowman,2018-06-08T08:34:41Z,"More interested in his bike than the clothing!    Love how they cycle to the top and then look fresh as a daisy, not a drop of sweat in sight!",12
MrFornicater,2018-06-08T03:29:02Z,A video this short is pretty pointless fro youtube.,1
NickolasRad,2018-06-07T21:29:25Z,enjoyin this series,2
Granja Hogar,2018-06-07T17:00:41Z,"When i´m on my bike i don´t give a fuck if somebody is eating unhealthy, having stress in his car or looking at his smartphone. Really unnecessary to make this comparisons!!",2
Jordan Mahy,2018-06-07T15:29:40Z,"Cole the Man + Gus=world class cameo's....also, what rapha lead designer croaked and let a Tie Dye Jersey & denim jacket on the scene? love that Sass. Perfect.",2
Mkeee,2018-06-07T15:03:07Z,Bottle spin at 1:03 👌🏽,21
howdyitsdavid,2018-06-07T14:56:50Z,"I like this, but I dont know what the point is of shaming the man eating in the beginning of the video. I get the transition from the insanity of human life to serene bike riding, but felt that in particular was put in there to make some kind of point about unhealthiness, which isnt really necessary.",13
Sean Pollock,2018-06-07T13:59:05Z,Lovin' the Allah Las,10
Jason Hearne,2018-06-07T13:12:11Z,To the question ... why don't you have any money?,7
Kwon,2018-06-07T12:50:48Z,Looks not bad but I felt and thought that this is not Rapha style totally.  Something weird.  There is no pure smell of bike ride on the road in this video.,9
