てっちゃん,2022-10-11T07:00:25Z,that's called a freedom,0
Sarkar Prodipto,2020-05-07T13:41:55Z,How to join Rapha?,0
Thomas Matta,2018-08-13T22:46:42Z,hail to all cyclist women's 💯🌟....,2
George J Gilles.:,2017-07-29T13:35:29Z,Those early morning rides are some of the best.,5
rich,2017-03-12T17:10:19Z,i thought the clip was well done. more power to her. an inspiration for other women cyclists. it is an advertisement but none the less captures how I feel as well.,5
Camilo,2016-10-20T10:05:04Z,"If anyone know the name of the song, please, let me know!",0
Jay Collins,2016-05-29T00:43:39Z,who is she ?,0
CJ Rudy,2016-01-26T23:44:07Z,"Definitely wanted to say that I watched this before nearly calling it quits during the Rapha Festive 500. It was the fifth day of rain, but this video came on. I decided to go out, and it was awesome.",0
王力行,2015-07-21T10:46:19Z,What is this song?,1
王力行,2015-07-21T10:46:02Z,?,0
Konnor Plymire,2015-07-03T00:28:04Z,What song was that? ,1
Rudy Elizondo,2015-06-06T22:45:08Z,"Awesome Man!!!!  way to go, now get up out of bed and ""Just Do It"" Morning is the best time to go for it, later in the day and just too much crap gets in the way!!!",2
Jason Jerusalem,2015-06-01T11:48:05Z,SONG?  Anyone know?,0
Greta Szefer,2015-05-31T16:29:18Z,Maybe someone know the song in the background?? ;),1
Jonathan Perez,2015-05-30T23:29:51Z,Marry me?,0
D J,2015-05-28T20:22:56Z,She could at least do with a hi-vis gilet (^_−),0
George Gilles,2015-05-28T14:50:38Z,Self motivation is the best .,1
brianmcg321,2015-05-27T01:19:23Z,"I knew before even looking at the comments, all the ""where are the helmet"" douchebags would be bitching that she didn't have a blinky. You guys are so predictable. Its a fucking commercial for a clothing line. Its not a PSA for bicycle safety.  Maybe she didn't need lights because there were at least 2 - 3 camera trucks following her around.",15
Dan Sheldon,2015-05-26T23:22:45Z,Where was this shot? ,0
BIGD_OSpinner,2015-05-26T22:12:41Z,inspiring stuff.... wonderfully shot as well....,0
irlgriff,2015-05-26T18:39:44Z,Lights???? ,1
Jacopo Invernizzi Calori,2015-05-26T18:36:24Z,"LIGHTS!!!...they're more important than having fashionable clothes!anyway,beautiful video!",1
Maglia Nera,2015-05-26T18:32:22Z,NO LIGHTS? kidding me. it ruins everything. everything.,7
Brian Jew,2015-05-26T17:23:28Z,Hey! that's my neighborhood!!,0
JamaicaPlain,2015-05-26T16:01:03Z,I suppose the practicalities of riding in the dark (i.e. using lights) go out the window when you look f*cking cool.,6
Mani Matter,2015-05-26T16:01:00Z,Inspiring,0
Phill Ellis,2015-05-26T15:57:24Z,First,0
