Serhat Bulum,2020-12-17T10:48:52Z,Best movie of rapha,0
Blog Pedalare verso il cielo,2020-12-17T07:13:40Z,👍👍,0
Bill Jones,2020-11-21T13:43:45Z,Such a great little video,0
Blog Pedalare verso il cielo,2019-07-31T09:04:26Z,COMPLIMENTI PER IL VIDEO,0
Chi Zhang,2018-11-08T17:27:11Z,"pink hub, i am sold",0
Rob D,2018-07-29T15:34:00Z,"Annoying video using majestic inspirational views of remote  countryside and wildlife  smooth low traffic roads, instead of actually showing the products in a realistic urban environment ie, smoggy pot holed roads, and dodging lorries and roadkill and the need to get that expensive  sweaty  Rapha clothing laundered quickly and efficiently without killing it after two wash cycles..........",0
Bill Jones,2017-11-02T03:02:32Z,Magic little  film,0
claudia kauling,2017-04-23T22:52:48Z,Viajei com vocês por alguns minutos..... obrigada!!!1,0
Vedran,2017-03-10T17:53:57Z,LAMB POWER,0
EdwinNewcomb,2016-11-09T21:41:20Z,I've walked all those hills - now time to cycle those roads. Ben Sgritgeall looking so fine,0
EdwinNewcomb,2016-10-21T20:50:14Z,best Rapha film yet,0
Mani Matter,2016-10-12T12:09:07Z,Inspiring,0
batesarch,2016-09-27T13:40:08Z,Good work marketing men + women.,0
Fraser Pitkethly,2016-09-24T10:42:52Z,What a beautiful film and collection,0
SugarPill,2016-09-22T10:29:59Z,Lot of feels from this.,0
ghost_and_tape,2016-09-17T10:07:53Z,Most overrated brand in cycling history. I've had to return every single piece of clothing I've ordered from Rapha due to extremely poor production-quality. Insanely overpriced as well. Only have a pair of pink socks left. There are loads of other ""alternative"" low key-designer  cycling brands out there with superior quality and better design. Pas Normal Studios. La Passione. Maap. Jaggad. Attaquer. Fibr. Lumiere. Blackmore. To name a few. Best thing to say about Rapha?! These video productions they put out ;-),4
EdwinNewcomb,2016-09-15T18:41:56Z,No more criticism about Helmets now that Rapha can flog Giros with stickers on....Otherwise great.,1
M H,2016-09-14T22:19:17Z,that lamb !,0
worldfrequency,2016-09-14T15:37:18Z,Is RSA still producing Rapha Films? Incredible camera work and cinematography which captures the essence of cycling as always.,12
Coreen Mazzocchi,2016-09-14T10:58:38Z,"Nice film guys, cheers.",0
jay collins,2016-09-13T23:12:42Z,fantastic soulful video with amazing kit as always chapeau @rapha,1
Kelly,2016-09-13T21:24:58Z,No women riding in your vid :-(,1
kirk williamson,2016-09-13T20:48:42Z,"Could you not be a bit more daring with your designs! Same stuff every year. Why can't you keep the staple items, but go a bit more wild on other pieces?",0
Barbora Eliasova,2016-09-13T19:11:40Z,👏👌👍,0
RLE82,2016-09-13T17:48:00Z,"I would love to know what route they took, Rapha is there any strava recordings for this trip? I know the area/region they were (Inchnadamph / Inverkirkaig / Lochinver) if anyone is wondering.",0
Humberto Leandro,2016-09-13T17:45:00Z,You should always wear a helmet...,4
rraul,2016-09-13T16:25:41Z,too much grey !,1
Owen Rice,2016-09-13T15:19:11Z,The new gear looks fantastic! Great work,1
