Seb Charles,2020-12-22T09:01:50Z,Epic,0
Crap Sheep,2020-01-09T17:28:18Z,Brilliant That’s my local patch,1
sam hopwood,2018-09-21T07:27:49Z,I say this because it’s ace and made me want to go for a ride but it should be longer!,4
Gotham Parks XVX,2018-09-20T21:56:03Z,Hell yeah,1
Michael Clark,2018-09-19T03:43:30Z,Yes!,1
Yodhi Prasetyo,2018-09-18T07:55:11Z,superb awesome !,0
Stefano Mancini,2018-09-17T22:55:49Z,Nice video but the jerseys are not for me.,2
Henry Yu,2018-09-17T22:20:08Z,So did they get a KOM?,7
Costas Mandylor,2018-09-17T18:55:53Z,"Love it! But I must say, if you're going to go through all the trouble and energy to make a short film, you might want to make it more than 48 seconds long. Just sayin', a few minutes long would have been perfect.",5
Harrington B,2018-09-17T16:04:12Z,One of your best. There where some really nice transitions in this edit and a great pace throughout.,0
