Anoobis Lulu,2021-08-08T03:56:52Z,Congrats Dato Azizul. Thank you for your recent silver olympic medal.  you made us proud !!,1
tiada nama,2021-08-04T04:17:52Z,Mad respect,0
Tiara Alradi,2021-02-28T22:41:06Z,"I'm proud to tell the world that the World Champion is a Malaysian and don't underestimate my bro, ever!!!",0
Back To Basic,2017-12-12T14:19:49Z,Pocket rocket man. You deserved the champion🇲🇾💪🏼💪🏼💪🏼,0
Kelas Terbuka,2017-12-11T10:58:54Z,"Nice Awang, salam from Indonesia!!!",1
Rixter,2017-12-11T07:14:11Z,Awesome !,0
Lawrence Carpenter,2017-12-09T09:38:41Z,What a machine. fair one Rapha,5
Langy,2017-12-08T18:11:34Z,Awesome,3
Ikram Idris,2017-12-08T14:04:40Z,Nice Awang. Respect from Indonesia (Y),1
commandcenter,2017-12-08T13:38:28Z,Congratulations Mr Awang.. well deserved victory!,1
