Fabio Mauricio Lozano Ardila,2023-01-27T05:59:31Z,"I loved this video, Lael absolute inspiration, the editing, the incredible sequence at minute 10:54, what a great cinematography!!!",0
Darryl Thomas,2023-01-04T14:00:17Z,Awesome video so inspirational 👏 💪,1
Joseph Prospere,2022-12-13T03:45:46Z,Rapha always providing us the inspiration to ""keep riding"". Thank You Lael 🙂,1
Hans Schotterradler,2022-12-06T00:37:52Z,"I can attest to the fact the Alaskans are willing to help out others:  I rode to AK back in 1992 up from Los Angeles.  I hit a couple of destinations such as Homer, Valdez, etc.  Awesome place.  Once I made it to Fairbanks, I decided to go up to Prudhoe Bay.  Unfortunately I ended up with a terrible tooth ache in the middle of nowhere, somewhere south of the Yukon.  A local gave me a ride all the way back to Fairbanks.  It was on his way; nevertheless he helped out a stranger in need.",1
Tarmac basher,2022-10-10T15:20:49Z,She looks a lot like Annemiek van Vleuten 🚴🏽‍♀️🚴🏽‍♀️,0
Cyclingnerd Delux,2022-10-08T15:00:24Z,Love the two fans standing on the side of the road in the middle of nowhere…awesome!!,0
Nic's Uploads,2022-08-16T20:54:06Z,Love it!!!,0
Pete the Pirate,2022-08-16T09:22:44Z,Great country.,0
Vishal Vishwakarma,2022-08-13T21:08:14Z,Lael is amazing. She is a very inspiring and humble human being.,0
Paddle Asia,2022-08-03T21:05:03Z,"Amazing effort, but why on earth would anyone want to visit that area?  Alaska looks miserable.",0
timothy angel,2022-07-12T02:14:12Z,What an awesome film and a wonderful achievement.,0
elvislives81677,2022-07-03T02:27:13Z,My new hero.  Wish everyone would know her.,0
1 Legged Adventures,2022-06-22T19:42:50Z,where are the FKTs kept?  how do you know who has the record?  who is the governing body for FKTs?,0
C.K.,2022-05-19T19:06:51Z,such a great woman...!,0
Danny Zuehlsdorf,2022-05-06T04:34:44Z,"Wine me, dine me, mile 69 me",0
Ben Rushing Sr,2022-04-30T18:54:21Z,Wow! Lael you are a awesome cyclist!  I look forward to meeting you one day! Ride On!,0
Gavin Maloney,2022-04-27T12:45:28Z,Lael. You’re more than an incredible ambassador for the sport. You’re amazing & inspiration for the planet 👊🏼,1
David DuVall,2022-04-08T22:57:40Z,What a awesome person!!!,0
C.K.,2022-04-04T19:48:34Z,🤩🤩🤩👍👍👍,0
Art and Prevailing,2022-03-23T20:11:00Z,What a wonderful film! Thanks for sharing - and thanks for the inspiration!! :D,0
TimpanoDeAcero,2022-03-14T17:26:03Z,What a piece of super woman!  always transmit good vibes! ☺️,0
Roberto Maldonado,2022-03-08T01:14:32Z,Had never realized how beautiful pipelines were,0
lilith strange,2022-02-21T16:51:56Z,lael wilcox is such a beautiful person.,0
mycoolcar,2022-02-14T08:03:28Z,Great video.,0
Mike Kilburn,2022-01-29T15:25:06Z,Young lady I think you're amazing between you and Ryan Van duzer there's no way I can lack for inspiration.,0
Chris Strider,2022-01-29T09:21:49Z,What a woman!,0
MegaWatermelon93,2022-01-19T09:36:19Z,Y’all need to urban dictionary alaskan pipeline…,0
Durango Devo,2021-12-26T04:04:54Z,Legend! We love you Lael! ❤️,0
GRAVEL1Brevet2CampingHOCKEYsnowHISTORY,2021-12-21T08:43:00Z,멋져 멋져 대단해!!!,0
Josh Healey,2021-12-20T03:50:22Z,Such a pleasant person,0
Angellos Malefakis,2021-12-18T10:16:07Z,It is inspiring. It shows the world that anything is possible. It is amazing.,0
Meriam,2021-12-10T12:49:26Z,"Welcome to 69 mile, no pun intended. Great going girl, nice to see a woman pushing the boundaries. I wish you many great miles on the bike.",0
Scott Sievers,2021-11-17T01:17:49Z,Fantastic film!,1
Jon,2021-11-10T07:51:28Z,Great vid. Thank you!,0
ultrarunner,2021-11-08T21:41:16Z,"Lael  is such an inspiration, and so enthusiastic. I 've only ridden over a hundred miles on four or five occasions, I love the way she chews up hundreds, in tough terrain with a smile on her face. What a fantastic ambassador for cycling.",0
Pedallin raw,2021-11-08T20:54:40Z,Great content......the loneliness and mental challenges of being an endurance cyclist 🙂👍🏻,0
Randal Bladel,2021-11-06T18:54:06Z,"Somewhere Lael is on a website where she details her whole kit, for those of you who are asking those questions.",0
Randal Bladel,2021-11-06T18:44:37Z,White Claw?  Really?  I’d already be falling off my bike.  No need for THAT “help”.,0
Eduard Herak,2021-11-06T13:43:09Z,❤️❤️❤️🚴‍♀️⛰🌞👍👍👍🌹🌺🌸,0
Luke van der Hoeven,2021-11-05T17:51:22Z,"The 69 mile people were dope. I'd love to see these vids list the bike specs for the rides, especially the wheel/tire and handlebar setup Lael was riding.",1
Pablo Velimirovich,2021-11-05T07:22:05Z,This was really inspiring,0
JP,2021-10-30T16:22:20Z,"Leal, don’t know if you see or read these comments but your attitude, determination and love for the road inspires me. I did my first 200 mile ride last year and thought of you. Thanks for lifting us up in the sport!",1
10after10,2021-10-29T23:04:44Z,The ALL LAEL WILCOX CHANNEL COMIN ATCHA 24 HOURS A DAY EVERY DAY!!!,0
Mykhailo Hryhorashyk,2021-10-28T18:35:04Z,That is amazing! Love it!,0
squishlefunke,2021-10-28T02:04:30Z,""The plan is to take my shoes off and go to bed"" this is the only aspect that I can relate except for me that's a 50 miler  🤣,0
Rob Ostry,2021-10-27T20:58:57Z,Great video--inspiring and beautiful. Well done to everyone involved.,0
Corey Golphenee,2021-10-26T18:13:05Z,I just wanna how many of her neighbors told her she was gonna die.,0
Corey Golphenee,2021-10-26T18:12:24Z,And I think riding in Washington is rough,0
Alberto Romero,2021-10-26T02:35:34Z,"saludos hermosa, que envidia de ruta",0
M N,2021-10-25T08:30:48Z,"This woman is an inspiration to all, a wonderful human being.",0
stuckyn,2021-10-25T00:40:03Z,What were the reasons for the ""construction"" stops ?,0
Kylie Ⓥ,2021-10-23T01:04:21Z,"FKT*    Or. . . FKT-Supported.    Lael just doesn't seem to care about the concept of self-supported ultra racing. It's annoying, especially when she tries to claim she really wasn't supported and then appeals to sexism. 🙄",0
xdSensis,2021-10-21T19:35:48Z,"Lael is an absolute phenomenon, so inspiring...  Alaska just looks jaw dropping",0
edmasamo,2021-10-21T05:48:55Z,watching this in preparation of Lachlan's Alt Tour d'France watch party tomorrow,0
FullTimeJob,2021-10-20T19:46:55Z,These videos with Lael are absolute amazing!,0
jay swavely,2021-10-18T05:11:44Z,I missed my chance for this type of riding.,0
McCue Noir Films,2021-10-17T10:54:54Z,Lael is an amazing and inspiring woman! Her attitude is awesome. What a perfect video to come across before my big ride today! Cheers!,0
Kix B,2021-10-16T23:12:02Z,Big ass cookies!,1
Bikes with Brad,2021-10-15T15:32:28Z,5:20 O M G the mosquitos!,0
unchewable1,2021-10-14T15:25:05Z,Love that you are doing adventures while creating ones for other people,0
wichersham,2021-10-14T13:01:20Z,I have ridden the Dalton highway from Fairbanks to Deadhorse about 20 years ago. It was SO HARD. I have massive respect for her endurance and perseverance.,0
abasta,2021-10-14T01:52:33Z,Val-deeeeeeze.,0
Jeremy Lawrence,2021-10-13T19:20:31Z,'Faster than oil' needs to be Lael's tagline.,0
Bruce Denis,2021-10-13T04:13:49Z,Lael's roadside fan club is getting so big it's starting to impact her FKT attempts.,1
Peter Smyth,2021-10-12T22:11:38Z,"That kid with the sign and the chocolate bar reminds me of a Paris-Roubaix themed event I did, with mud and rain to suit. At the end of a gravel sector there was a family waiting, and a five year old kid handing out flapjack.",0
Here For it,2021-10-12T12:40:08Z,Lael is such a rockstar.,1
Explore with Jack,2021-10-12T12:16:19Z,Well done! That's the spirit!,0
G Matsushige,2021-10-12T05:41:04Z,I continue to be so appreciative of Lael's great attitude. Aloha!,0
KO L,2021-10-11T21:46:12Z,Amazing achievement. What a ride 💪🏼,0
bluemystic7501,2021-10-11T19:13:43Z,Super pumped that you have an all female crew??  (2:53)  Why does that matter?  I just unsubscribed.,0
cycling world,2021-10-11T17:44:05Z,Will there be a russian version?)),0
bruce vreeland,2021-10-11T03:15:02Z,Go vegan please!,1
Greg Knipe,2021-10-10T14:48:06Z,"celebrating an ecological abomination with a bike race...  why not, really. interesting presentation, thanks Rapha.",0
Robert Botta,2021-10-09T17:12:28Z,Thanks Lael. Such an inspiration. You are the best!,1
Saifulbahri Hassan,2021-10-09T11:29:25Z,We all need a little crazy. This is good crazy.,1
Armin Korsos,2021-10-08T20:30:59Z,"A bit crazy and concerning that a $1,000 tent let in that much water at 7:38 , Thought Big Agnes was a bit better than that!",0
Michal Saidov,2021-10-08T18:22:49Z,such a brave woman :) ... like the idea of the trip,0
Tim Long,2021-10-08T14:34:53Z,"My kind of girl, gas station hot dogs.   Lol",1
PatrickJamesKiernan,2021-10-08T11:21:47Z,Incredible ride! Faster than crude oil! And a beautiful video!,0
kjl42,2021-10-08T04:29:09Z,"With me being lactose-intolerant, I feel like my refueling options for these types of rides would be a lot more limited.  Everyone has seen the images of Lael chugging coffee creamer; I would literally explode!",0
Dodging Lions,2021-10-08T01:59:18Z,just absolutely awesome!!!,0
TheoreticallyNo,2021-10-08T00:16:52Z,Super duper. Loved this little film.,0
Gualter Amaro,2021-10-07T22:05:05Z,"Lael is the best and I love her mindset when she's on a trip like this, so positive and inspiring!Also, this doc is perfect! The perfect lenght, beautiful shots, great editing, it showns just the right amount of different content, wow congrats! Kudos to Lael and Rapha!",12
Ellery Bice,2021-10-07T17:06:47Z,"Your scrip reading skill need improvement, and your support/film crew should coddle and feed  you better.",0
RalphWiggum4President,2021-10-06T22:01:39Z,Is Lael riding 650b or 700c wheels? :),0
Alban DB,2021-10-06T20:13:51Z,What an amazing woman!,0
Jim DeLong,2021-10-06T16:06:33Z,Big fan of this young lady!  Love the video!,0
