Malwina Świątkiewicz,2022-06-08T15:45:21Z,"When you feel that You can do everything, know that You can do everything! By the way…a beautiful soundtrack😃",0
Pedaltopia,2022-02-12T11:59:08Z,"Fantastic filming!  This is a GREAT video, thank you!!!!",1
Philipp Ziegler,2021-11-30T18:44:41Z,It’s such a brilliant video. Every December I watch it and I‘m looking forward for the festive500. Riding the festive in Scotland is on my bucket list.,0
林星帆,2021-05-27T14:41:31Z,Great film! Thank you for sharing your story!,0
Riccardo Brugnetti,2021-02-12T08:26:54Z,Bellissimo Ivan!,0
itanglish cyclist,2020-12-29T18:40:10Z,"Fantastic video, no more words! 👏",1
Thornton Tarr,2020-12-29T14:18:04Z,"Mate, brilliant video production, your cinematic sense is stunning.  And then there is the story of you, your bike and journey.  I will recommend to my cycling buds.",1
Gerry Levens,2020-04-24T18:50:23Z,Amazing,1
Axel Siepmann,2018-02-07T15:10:55Z,Magnificent!,0
theNeonPiper,2017-04-17T19:59:42Z,"Beautiful, Ivan. Wish I had found this film sooner.",2
SalvaGCT,2017-02-25T08:45:38Z,good film !!,0
FOMOHEXUAL,2016-12-15T08:51:29Z,awesome film and awesome effort man!!,0
TREKKERPRISE,2016-05-30T07:58:17Z,"This is a very inspirational, great, motivating journey. I truly congratulate You, incredible! :)",1
Giuseppe Catalano,2016-05-20T17:50:34Z,Beautiful !!!,0
Konrad Mroczek,2016-03-27T15:35:37Z,This is absolutely fantastic!!!,0
Brian G,2016-03-17T18:50:05Z,Thank you Ivan for sharing your (our) passion and producing such a moving piece.  (unintentional pun),0
rednatalieee,2016-02-22T22:34:48Z,Stunning video; just researching getting a road bike and this has made me so excited. Thank you...,0
Jacopo Invernizzi Calori,2016-02-15T15:53:54Z,Gran bella roba!,0
Cody Sovis,2016-02-11T00:29:00Z,"Great video, Ivan. Beautiful place in the world.",2
Global Convoy,2016-01-24T23:09:48Z,Fantastic stuff! Hoping I can reach this level of film quality one day!!,0
TOXIS Central 6,2016-01-16T02:07:42Z,be inspiring for documentary,0
HigeDaruma,2015-10-26T12:26:05Z,Awesome!,0
Gustavo Moura,2015-06-04T15:40:10Z,"So inspiring, thanks so much for sharing!",1
Gus Shug,2015-06-01T18:53:51Z,"Well done Ivan , absolutely beautiful. Your grandad would be proud.",0
George Gilles,2015-05-28T13:13:38Z,Awesome video. ,0
John McCormack,2015-04-21T22:02:50Z,"Great Video Ivan, beautifully shot!",2
Manny F,2015-04-18T17:54:41Z,Best Festive 500 video. Has the Rapha feel. Love it.,0
DJ LUNIS,2015-02-24T12:21:44Z,Very Nice.... I Love it... What Cameras & What Lenses did you use except the gopro...keep working so nice,0
Siobhra O'Brien,2015-02-20T11:54:46Z,Absolutely beautiful film Ivan! Congrats on the 500 too!,4
Jack Harley,2015-02-17T03:44:43Z,"Great vid mate, amazing production value too!",1
Gary Cruz,2015-02-11T20:46:50Z,Well done! Congrats!,1
babilonex,2015-02-03T04:25:43Z,Very proud of you!,1
Inge Clemente,2015-02-02T12:14:00Z,What a beautiful journey!!,2
