Matt Krivosudsky,2021-01-14T01:58:19Z,where is the GPS route?????,0
Steve Adams,2021-01-11T15:57:04Z,"My 3 favourite trappist breweries. I have visited Orval, wonderful ambience. Certainly gets cold in the Ardennes in winter.Rochefort is my favourite, the 8 and 10 are superb beers. Chimay also.",0
Kevin Pilgrim,2020-07-03T07:43:45Z,Where can I get the route? Sadly its not possible to get it at rapaha :-(,1
David Anderson,2020-04-06T03:36:33Z,Why haven't I seen this film before?,0
Soheil ,2020-03-12T19:06:05Z,Can someone tall me where are these monastic breweries? Name? Location?,1
rc g,2020-02-20T08:35:13Z,"This video of kooks talking about passion lol - great work, hipsters",0
Kieran Joyes,2019-02-14T04:53:12Z,Who the heck brought a Chrysler Cordoba to Belgium?,0
Ridge Hawn,2017-04-25T21:14:33Z,what's the song at 4:35,0
EdwinNewcomb,2016-10-09T19:24:40Z,Ampleforth Ale - UKs own version - one is enough,2
Tommi Kivimäki,2016-09-12T18:06:36Z,Great story! And also a great reason to go riding.,2
J Silva,2016-08-27T00:43:42Z,Love it👍,0
Rubens Loor,2016-06-15T17:38:41Z,"Amazing Video, what brand are orange bike?",0
RLE82,2016-06-12T00:31:52Z,"Bikes and beers, whats not to like? Next year i`m doing a whisky tour by bike in the Scottish highlands, wild camping/bivvy... cant wait.",11
Dinosaur4jr,2016-06-10T21:39:28Z,Drink 1?!  Thats in insult to Orval :p,2
John Thomas,2016-06-10T21:16:31Z,This film highlights the experience with others in a way that a race or performance only atmosphere cannot. Great clip.,4
BIGD_OSpinner,2016-06-10T17:51:38Z,"what a beautiful film, like all Rapha films...",5
stephen mcdade,2016-06-10T17:25:35Z,"Who doesn't want a Belgian brew after this? Its only 10:30am and I am at work, don't think anyone will notice",1
Y K,2016-06-10T14:27:19Z,Rapha's video is really fantastic!,0
장기연애,2016-06-10T11:42:15Z,중간 중간 사진처리만아니였어도 ㅠ 좋은영상감사해요 라파!,0
