Rudy Elizondo,2021-01-13T02:44:23Z,Alright!!! More more more more more!!!!,0
Byron C,2021-01-05T11:20:46Z,This seems incredibly forced.,0
Music Mogul,2020-10-29T20:50:00Z,So cool!,0
TheRocknanana,2019-12-17T06:48:17Z,Rich spoiled people on bike. This is note the attitude...such a shame,0
ACDC.,2019-09-07T13:11:54Z,"Rain, land rober... sorry this sucks",0
CicloMASS#,2019-07-02T15:24:14Z,"I wish I had epic rides like that, my friends won't even show up to the groud ride hahahaha awesome vid rapha!",3
gamby16a,2019-07-02T05:04:39Z,A crew that hip would have to be riding gravel.  Any other discipline would be dreadfully uncool.,0
Rafal Wróbel,2019-07-01T22:30:39Z,Bike ........... Rapha   - ....................shit,0
C345 OFR,2019-07-01T10:33:01Z,"Wait, was that David Tennant on the ferry tannoy @ 0:42 ? Perhaps some voice work in return for a free journey :-D ?",1
Chris Bell,2019-06-30T03:00:23Z,Did Rob bring his shoes? ;-),22
Juan Rodríguez,2019-06-29T23:17:00Z,quirks laugh!!!,2
C z,2019-06-29T19:03:29Z,fuck cars,2
Milan B.,2019-06-29T17:36:05Z,Well that was a Quirky bunch!,1
Matt Kemp,2019-06-29T16:22:16Z,Ironic how the car they choose is often one of the worst driven!,5
Medium Rick,2019-06-29T15:31:36Z,"More two, less four.",5
Currrls,2019-06-29T07:40:01Z,What bikes are they riding? I cans see a Canyon Grail..,0
ecycled3d,2019-06-29T03:31:35Z,"You know I have always appreciated pretty much everything Rapha has done for both clothing (form and function) and cycling but the “four wheeled” car soft porn, well sorry, really bad taste. It’s something that we know we have to deal with, the drive to the ride dilemma, but please Rapha you could have made that less a part of this otherwise really good video.",12
Elio Avila,2019-06-29T02:57:12Z,beautifully editing !!,1
CØG CYCLING,2019-06-28T22:38:30Z,Awesome and inspiring!,0
Loz20365,2019-06-28T22:27:21Z,yay lets all hire cars!,5
Steve Barratt,2019-06-28T21:11:00Z,"I have been a rapha customer for many years, there clothing is worth every penny, and I appriciate how there films keep me inspired !From a self confesed tired old f*&k, I thank you Rapha !",16
Steve Jennings,2019-06-28T20:51:42Z,spot on,0
thetalkingfly,2019-06-28T20:39:56Z,"I love the filmmaking style here, and I hate to say it but I love the clothing too (when I see 25 adverts on a single jersey I wanna barf! Haha) Rapha I can not afford your shizz but I do love it! Also I can not get enough of your films. More city films please! those are so good. Cheers, Steve aka The Talking Fly",10
tommoelbommo,2019-06-28T20:08:13Z,"Friends, the great outdoors, and cycling, what could be better.**rapha will not help you achieve any of these****if they'd bought dbh bib shorts they could've afforded another night in that awesome cottage",10
Sasha Tromsa,2019-06-28T19:25:12Z,way to go Bobby Q!,9
ydnar,2019-06-28T19:00:37Z,Excellent footage and editing.The Art of visual enticement.Everyone pedal along !,5
NonchalantGarage,2019-06-28T18:48:55Z,Nice B Roll,0
Alex Grytsenko,2019-06-28T18:44:29Z,Inspiring,0
VLAD,2019-06-28T18:43:55Z,Which photo camera are u using?,0
nayr497,2019-06-28T17:33:49Z,"The 5 panel hat...the current version of bad taste in headwear. Only marginally better than when people were tucking their ears into their hats on purpose. Phew, that was a troubling style choice!",0
Tommy Thornton,2019-06-28T17:04:51Z,I love Rapha films!,1
