Omar Alsebai,2022-09-03T19:51:48Z,تحياتي لكم حياتي هي الدراجات عشي حياتي كلها لحظة بلحظة مع الدراجات الدراجات هي من صغري بعمر 4سنوات الى 20 سنةو الى اخر يوم في حياتي الالهام للدراجات عشي 😢😢😢😢😢😢😍😍😍😍😍😍😍😍😍😍😍😍😍😍اشكركم تحيا راكبي الدراجات🚴🚴🚴,0
not really,2022-09-03T14:46:38Z,"Hey everybody, go do a group ride, but give us $200. Why is an unsupported, unmarshalled ride $200?What do you win? Seems like a scam.",0
Mad_Derailleur,2021-11-10T13:46:07Z,"Come on Rapha,  the social aspect part will always be there even if you don't use a Rapha Kit. other brands are as good as Rapha kits  as dont even need the video production aspect. Rapha would benefit  better if they show the real struggle a real cyclist goes through, Show the ROUGH, THE RAW, THE GRIND. as a matter any group ride thats not as Elitist would have the social aspect and experience without any brand name KITS.",1
yohansen79,2021-07-31T13:59:57Z,Im confused! Can I ride gravel with a road bike?! lol,0
Pendji,2020-11-06T18:56:57Z,Who the fuck has a local non-racing team capable of affording all-Rapha gear?,1
Jairo Machado,2019-10-29T11:50:16Z,"...Pedalar é viciante,porém,ela não te aprisiona,não te causa overdose,você só quer pedalar....ir é vir em paz....",0
Kon Chittavong,2018-11-08T13:39:29Z,"It's so nice to see people come together, doing the things we love, in peace and enjoyment.",2
Michael Clark,2018-09-26T22:48:45Z,Beautiful video!,0
Antoine Morin-Prévost,2018-09-23T11:58:20Z,Wow,0
TheRoshan,2018-05-04T13:34:29Z,Well I guess I'm buying a rapha kit now!,4
Rob Steele,2017-04-24T05:13:19Z,Tom day dramatic music 👍,0
Cori,2017-02-06T13:05:02Z,bgm please ?,0
Paul Kent,2017-01-10T21:12:56Z,Nice advertisement,0
Segreteria Valcismon,2016-10-01T05:54:54Z,SUPER!,0
Roman,2016-05-20T08:17:11Z,man those Rapha marketing boys sure know how to shoot a video.. making it all feel dramatic and shit,21
kevin yates,2016-05-18T14:56:31Z,Wonderful video!,0
Segreteria Valcismon,2016-05-15T05:30:29Z,I love you Rapha!...forever,0
Jim Panther,2016-05-10T01:52:20Z,I love lady riders...,3
Mariusz Krzewinski,2016-04-26T17:29:08Z,Insane😀,0
Mu Yahid,2016-04-25T14:31:02Z,love it,0
DNY ALF,2016-04-25T04:23:51Z,great music and view...,3
Solar K,2016-04-24T15:12:10Z,Good~ very nice...!,0
A B,2016-04-24T14:40:17Z,I absolutely love your videos!!,1
Thomas Kehlenbeck,2016-04-22T17:18:13Z,Really nicely done.,0
Rich Hatton,2016-04-22T14:43:12Z,Magic,0
Mani Matter,2016-04-22T13:24:44Z,Nice,0
Sergio Ramirez,2016-04-22T13:15:45Z,awesome,0
Richy Coles,2016-04-22T12:46:18Z,Nicely shot.,6
