Earl Styles,2022-09-05T23:52:04Z,"Love how he reference ""Hard working MEN"" those are the ones that made Leadville what it is today..HARD WORK and no BS if you know what I mean....I do this race every year and permanently marked my body with Ink to signify what it means to me and the History behind it.....Make no mistake...behind every great hard working MAN, is the rock aka WIFE....",0
nickyburnell,2022-08-21T22:26:31Z,Like,0
Anthony Sears,2022-08-02T12:25:59Z,The racing is cool. The speeches are painful to listen to!,0
Anthony Sears,2022-08-02T12:18:59Z,Wait until current liberal admin. Gets done. Highest unemployment in the world!,0
I Mc,2022-05-19T22:39:09Z,"I did Leadville several years back, and I have to say, it was probably the best day I’d ever had on a bike. Riding bikes in an amazing place with hundreds and hundreds of other like minded people was absolutely amazing. I will always look fondly at my bucket for all the great memories from that day. If any of you are thinking about doing Leadville….DO IT!",0
Carlos Febles torres,2022-03-15T15:55:44Z,15:53 my man dropped the bottle and the woman behind him took the other bottle away from him,0
Sascha Mel,2022-03-10T12:25:19Z,21:16 is it Lance?,0
Brand Hark,2022-02-18T20:47:27Z,I love Lochlan.,0
Bo Sanders: Public Theology,2021-12-20T04:38:28Z,I have watched this several times since it was first posted. It gets better every time. Lachlan is just one of a kind.,0
David Dorr,2021-11-18T17:41:49Z,"""I was struggling as to what the purpose of being a professional bike rider was ... people reaching out and saying they were motivated to get back on their bikes ...""  That's me, Lachlan! thanks!",0
maconSTUFF,2021-10-31T16:30:59Z,"Great video and great story... I'm doing my first endurance event in like 5 weeks... a local race here in Namibia called the Desert Dash... 393km in 24hrs... pretty young event, but its starting to attract people from all over the world... wish me luck!",3
Gabrielmtbgopro,2021-06-28T19:25:35Z,Leadville used to b cool ! before lifetime f corporation,0
deppyboi,2021-05-13T07:58:26Z,Does anyone else skip forward every time Tyler speaks?,0
Riders of the Cody Scarp,2021-02-02T05:36:49Z,Great race!  Great Team!  Go Cannondale!,0
Boycott Factory Farms,2021-01-29T00:39:38Z,"Watched this 2x now. And after covid, we would be honored to chase the EF boys and support Leadville!",1
Joe BEECH,2021-01-26T09:53:55Z,Fantastic doco.  Really love the community spirit and fighting spirit of everyone.  Love it:),0
linglingjr,2021-01-26T05:34:26Z,It's all  fun and games doing events like these until Van der Poel and Wout Van Aert show up to dirty kanza or something like this...,0
occyman,2021-01-25T09:01:22Z,"I remember riding with Lochie (when he was a very young fella), his brother and his dad back here at Coluzzi in Sydney. Good on you Lochie...",0
labmatthew,2021-01-24T04:28:53Z,This is classic!  These guys are great!,0
Brett M,2021-01-13T13:09:06Z,Now I want Howe and Finney and Morton to come try the Marji Gesick 100 and see if they think it's harder than Leadville.    ;)      This vid was so awesome though...  so great to hear how hard it was even for the pro guys.   ""It doesn't get any easier you just get faster"".    To quote a douche.   lol...,0
Ray Laux,2021-01-12T01:00:49Z,"Leadville, boo hooo",0
Paul McClure,2021-01-07T04:52:50Z,"Thanks for the memories. I did it in 98, 99, 2000, & 2001 and it kicked my ass every time! Great race, well organized, great people, and beautiful country!",0
Philip Barrett,2021-01-03T18:14:17Z,Leadville; where walking to breakfast will leave you breathless!,0
Keith Moore,2020-12-31T12:56:58Z,Nothing like starting a race with a double barreled shotgun.,0
freddodu,2020-12-14T02:28:07Z,15:42 lol 😂,0
Kelly Mckenzie,2020-12-11T07:18:15Z,Definitely the most endearing bromance I've ever seen,2
GreyWolfClimber,2020-12-01T12:20:30Z,"It's a great atmosphere. I did this several times back in the 90s before it got trendy. Did the Vail Ultra 100 too when it started up a rivalry with Leadville. They'd be one week after the other. Vail is too polished for me. Didn't like staying there.I lived in California at the time, so trained a lot at high altitude in the Sierras, so I would arrive acclimatized, so it wasn't too bad. I did the race in 2000 after living in the UK for a while, and suffered badly. Had to visit the medical tent afterwards and breathe oxygen. And for the rest of the week, couldn't sleep properly because of being unable to catch a full breath.They are right about ""The Powerline"". It's not a road. It's just where power pylons go STRAIGHT up the mountain, so it's a 20% gradient dirt trail.The trail up to Columbine mine is not too bad for most of its length. Above the tree line it's only semi rideable upwards.",0
JMS,2020-11-27T13:28:10Z,"Holy shit! I keep watching these things and I just keep being surprised at how engaging and immersive they are, and that they actually have something to say.",0
Steven Holland,2020-11-11T05:24:56Z,"OMG STOP SAYING “ LIKE”, these three couldn’t talk if you took that word from them...",0
Christopher Farmer,2020-08-07T02:26:58Z,Anyone know the name of the song at the beginning? Was in the DK video as well.,0
Finn Atwood,2020-07-24T07:07:11Z,6:20 that’s a huge bong bro,0
Re Scavone,2020-07-22T21:52:59Z,These films are amazing. Watching how this race/ride galvanizes the cycling community gets my eyes pretty misty. This is the side of cycling that keeps people doing crazy things. I love seeing a pro tour team being involved with these things and closing the gap between the average joe and the pro. Keep making these films!! The cycling world needs more content like this!!,0
Luke Durkin,2020-07-15T06:32:51Z,"""If you show up to a rodeo with this on, people assume you know how to crush Bronc"" - best line I've ever heard from a pro cyclist.",9
Road Glide,2020-07-07T00:30:06Z,Less is always more. Peace.,0
Lenny Smoothmountain,2020-07-06T00:18:39Z,Anyone know where can I find Morton's inner bar ends??,0
