Rapha Films,2022-11-08T23:43:50Z,The film premieres at Kendal Mountain Festival ( Tickets are available here: https://tickets.kendalmountainfestival.com/events/19-11-2022-19-15-descent-feature-film-presented-by-rapha ) and will be available to watch on Rapha's YouTube shortly afterwards 👍,7
Life With Rich Creative,2022-11-17T16:13:37Z,Got chills watching the trailer. Can't wait for the full experience!,1
Ekim Dinc,2022-11-14T20:45:26Z,Watching this from my hospital bed. I too just wanna…cycle. I will get on that saddle again. Can’t wait to watch it.,1
Chad,2022-11-09T14:24:05Z,Wow that made me tear up I know how my heart would be ripped out if I ever lost this beautiful sport of cycling !! Just so happy she recovered and got back to her freedom can’t wait to watch this ❤,5
Dan Eagles,2022-11-09T09:21:11Z,"Powerful, emotional, and stunning shots, can't wait to see it!",1
Nicos Livesey,2022-11-09T01:03:31Z,This looks intense and brilliant! Can’t wait to see it!,3
Julian Macmang,2022-11-09T00:16:28Z,i always end up in tears watching this. the feels!,3
6ft8incyclist,2022-11-08T15:36:38Z,When and where can I watch this.,1
Tarmac basher,2022-11-08T15:15:52Z,This made me blubber 😢keep going tough lady 🚴🏽‍♀️🚴🏽‍♀️🚴🏽‍♀️🚴🏽‍♀️,3
Roberto E. German jr.,2022-11-08T14:40:05Z,"Don't give up ☺️😊☺️, be strong and Step up 👍👍👍Love cycling ❤️😗💕 all the way to the top.. God loves you ❤️❤️❤️",3
Chris Hash,2022-11-08T13:40:08Z,Dang. I hate it when trailers make me teary-eye’d. This looks amazing. I hope it comes out in theaters near me.,6
Jon Attenborough,2022-11-08T12:11:46Z,"Looks amazing, beautifully shot and edited. Cant wait to see the film!",8
wkbe,2022-11-08T11:17:32Z,intense,2
Adam Gurule,2022-11-08T10:57:12Z,Love it,2
Nick Hill,2022-11-08T09:54:07Z,Hard as nails!!,1
Marcin Szymkowski,2022-11-08T08:21:11Z,Looks like a great story! Can't wait to see it!,2
yvan morgenegg,2022-11-08T07:07:57Z,RESPECT❤,2
Souplesse,2022-11-08T05:35:25Z,❤‍🩹,1
powerofpositive,2022-11-08T04:39:53Z,Where can you watch these Rapha films?,0
Just Average Rider,2022-11-08T02:03:35Z,Impressive🙌,1
Beats Lion,2022-11-08T02:01:58Z,Another Rapha masterpiece ❤,3
Dro,2022-11-08T01:18:34Z,Cool trailer for sure,1
Bon Gabs,2022-11-08T00:08:04Z,"wow,,Rapha has to be in Film business,,always great movie👌",2
Road Glide,2022-11-07T23:11:19Z,100%! 🙏🏻,1
Happy Biker,2022-11-07T22:34:24Z,Inspiring 👍,3
Benny Mabazza,2022-11-07T21:55:58Z,This gave me goosebumps. Can’t wait to watch it!,19
Rafaello P,2022-11-07T21:47:45Z,Nie ważne co się stanie nie przestane jeździć ❤,1
Bowhead,2022-11-07T21:30:16Z,Can't wait for this 🙌,5
Sean Burkey,2022-11-07T21:25:19Z,Looking forward to watching this!!,5
RealSweetKid,2022-11-07T21:15:41Z,Man can't wait to not watch!,1
Gravelo,2022-11-07T20:55:34Z,Wowwww!!! 👏👏👏👏,2
