S G,2020-04-29T05:51:24Z,"sick video, besides the propaganda to finish it off",0
Thomas Shea,2018-09-23T04:26:58Z,This was great! Crap! I wish I was keeping up with you guys while I was watching the race. Next year for sure.,0
Johannes Gemürr,2018-07-24T06:49:00Z,What’s the rap song at the start?,0
Urby 1,2018-07-23T22:40:03Z,"Omg, Rapha Race Radio vids are awesome!!!!",0
Tahaa Malik,2018-07-23T21:05:59Z,saw the yt add and came because of the music hahha,0
Ale Thes,2018-07-23T14:28:32Z,"90% of them are not cyclist... smoke bombs, dangerous attitudes and ""buu"" for the team sky.    Come back to the stadiums please!",0
Darren Brogan,2018-07-23T12:17:29Z,Good effort Stu,0
Ryan S,2018-07-23T08:26:09Z,8:23 - how not to leave a bike on the ground,0
Eachann Gillies,2018-07-23T08:04:56Z,great work as always dudes.,0
richard checa,2018-07-22T22:36:03Z,nice video from the inside of a legendary race. Thanks,0
Sean MacMinn,2018-07-22T21:38:33Z,Is that the new Rapha Giro Airnet helmet?,0
Andrea Zannoni,2018-07-22T20:03:22Z,Nothing about Nibali..... Cycling doesn't need this kind of public.,0
abe lucas,2018-07-22T19:09:52Z,What about nibali shutdown by the dutch corner... No mention at all...,3
Jackson Jxnatti,2018-07-22T12:45:35Z,Vincenzo Nibali dislikes this video,0
Laura Dlnv,2018-07-21T21:54:25Z,Ahahahah you guys <3,0
eric moss,2018-07-21T18:09:50Z,Good God how do I un-see that mankini at 7:00?,0
mikes1984,2018-07-21T17:10:25Z,where are you riding at the end of the video?,0
Jason Hearne,2018-07-21T16:06:29Z,Camo Rapha Race Radio t-shirts ... would buy,7
jfafactory777,2018-07-21T14:52:10Z,待ってたぜ！,0
Aidan Murphy,2018-07-21T14:29:12Z,"They weren't booed because of their corporate connections and they're power meter analytical methods of racing. They were booed because Froome was twice over the limit of salbutamol and Skys shady as he'll approach to the use of TUE's. Super video, biased summary.",6
Mark 1,2018-07-21T14:21:45Z,Minus point for French jersey....,0
Jake Bailey,2018-07-21T13:18:25Z,"awesome video, love it",0
ZeBen84,2018-07-21T13:01:06Z,SONG PLS !,2
C z,2018-07-21T12:01:14Z,haha. perfect. thank you very much. want to ride their one day myself :-) (sorry for bad english),0
