Daniel Tucker,2020-05-22T12:42:22Z,"This video is amazing and has helped me also in my recovery to ride my bike again. Thanks, Rapha.",2
Thomas Matta,2020-01-17T20:40:57Z,this short  film is outstanding u rapha  guy's behind the  cameras  r awesome me personally I'll give u💎💎💎💎💎💎💎💎💎💎👍👍👍👍👍👍🥢🥢🥢🥢🥢🥢🎭🎭🎭🎭🎭📽📽📽📽📽📽📽,0
Michelle Cruz,2018-12-22T23:48:47Z,¿Y la música? Alguien sabe de su autoría 🤙🏽,1
Margarita Martinez. Martinez,2017-04-30T20:54:33Z,*¡¡ES UNO DE MIS FAVORITOS DE RAPHA FILMS¡¡*,2
Triple Ace,2017-03-28T02:42:49Z,"Yes, To what places are you led ....thoughtful.",0
Margarita Martinez. Martinez,2016-12-26T03:24:17Z,WOOOW!!,1
elias nietoferrero,2016-06-08T04:50:17Z,RUN NAO RUN FOR YOUR REDEMPTION!! YOUR LEGS ARE WINGS!!! YOUR HAND ROCKS!,0
Alejandro Aranda,2016-01-03T03:18:01Z,"Every New Year's Eve I watch this, it's a masterpiece.",1
Tim Winter,2013-10-11T22:50:17Z,Amazing.,1
sirarrgh,2012-12-07T19:02:35Z,Superb. How inspirational.,1
Martin Santi Goycoechea,2012-04-17T02:25:35Z,"Increíble, y MUY original como siempre",1
