moritz langer,2020-10-30T10:53:32Z,Track ID at 3:38 anyone?,0
Filippo Sanna,2020-05-03T20:25:12Z,0:16   quattro mori everywhere!,0
EAG Baseball Adventures,2020-01-29T03:25:53Z,🇨🇴🇨🇴🇨🇴,0
montauta,2019-07-22T00:50:44Z,"Thanx for the videos Rapha. Here in Colombia Our Rigo is the Mick Jagger of cycling, and is a great example of a great human being",0
Sara Tucker,2019-07-11T16:59:01Z,I am a fan of EF Gone Racing because of the riders sent to Dirty Kanza. Great way to build up support in the United States in my opinion. Best of luck through the rest of the tour!,0
Dennis B.,2019-07-11T09:05:50Z,Rigoberto is a pretty relaxed guy. awesome!,0
N G,2019-07-10T22:37:37Z,What a tribute!!! Rigo tú papá!!! What a leader and what a person! “Come August I won’t be more or less happy if I win the Tour or not!” Talk about having your priorities in line!This guy really knows how to shed pressure.,0
laque prado,2019-07-10T22:30:29Z,"un tipo muy sensato que no pierde la cabeza fácilmente, no acostumbra a decir las típicas frases de todo los deportistas, simplemente dice lo que es y ya.",0
Fernando Cycling,2019-07-10T12:58:54Z,Great!!! Best to all.,0
Humberto Gamarra Jr.,2019-07-10T12:21:22Z,EF know that this crazy Colombian is going to make them more popular. One of the best assets in the team in every sense. Let's win  the Tour EF. Go Rigo Go!!! Viva Colombia!,3
fernando g. aguirre,2019-07-10T07:33:36Z,Grande Rigo!!!!! My biggest and best wishes for this team and all the EF staff! Rigo gracias por tu simpleza y simpatia!,0
ML,2019-07-10T03:31:58Z,Los mijitooosss!!,0
ML,2019-07-10T03:22:23Z,Rigo is a goddamn rock star. Even looks like Steven Tyler too,1
Emerson Gutierrez,2019-07-09T20:02:45Z,Rigo is a rock star in Colombia!,0
C. Medina,2019-07-09T18:18:42Z,Rigo it's indeed ""the man"". And if anybody ride bikes with somebody from Antioquia or anybody from Colombia from that matter will have a good time while riding.,0
D. Sebastián Núñez,2019-07-09T13:22:21Z,Rigo es un bacán! (Rigo is awesome) my favorite rider of the peloton. He represents us latinamericans very very well. Greetings from Ecuador. Vamos Rigo!!!!!,3
Michael Crawford,2019-07-09T12:27:54Z,“He knows how to separate the chaff away from what actually makes him go forward.” I think the cliche your looking for is “separates the wheat from the chaff.”,1
Ali Macleod,2019-07-09T07:23:11Z,what is the song used throughout the GoneRacing videos?,0
Levi O'Callaghan,2019-07-09T07:19:12Z,"What a legend, I want to see more vids like this 👌 changed my entire perception of rigo",12
Manuel Garcia,2019-07-09T02:30:35Z,"As always, Rapha with a great content. Vamos Rigo!!",1
Ty Nelson,2019-07-09T01:20:53Z,so good,0
thetalkingfly,2019-07-09T00:32:41Z,"These video are so good - thanks for being more than just stupid sport journalism - fine art! Cheers, Steve aka The Talking Fly1",5
Bob Maulucci,2019-07-08T23:27:10Z,"Go Rigo! Great video guys,",2
Adam,2019-07-08T22:46:40Z,Obscenely huge big ring on Rigo's TT bike - absolute dinnerplate!,2
wyatt nicholson,2019-07-08T21:53:23Z,Pulling for Rigo FTW!,3
Ben Adrian,2019-07-08T21:05:31Z,"What a window into Rigo. ¡Gracias, Rapha!",13
Nicolas Castro,2019-07-08T20:18:14Z,"Hermoso vídeo!!! Me encanta Bel equipo, mucha suerte para este tour!!! Abrazo desde Bahía Blanca Buenos Aires Argentina",1
Alex Benson,2019-07-08T19:47:17Z,I love this series!!,2
Christian Donaj,2019-07-08T19:34:32Z,was so cool to see the fans of Rigo at the first 2 stages before the depart. they are all giving everything for him.,1
lars_tri,2019-07-08T19:14:54Z,"Yeah, was waiting for this video :) Keep on going guys :)",3
dan110024,2019-07-08T19:02:26Z,Rigo dancing half naked is engrained in my head every time Mi Gente is played,8
Adriaan Vandermeer,2019-07-08T19:02:22Z,"As stoked as I am for more content, I was hoping for a GBDuro video",15
Евгений Зимовский,2019-07-08T18:24:12Z,Better than ""Game of thrones"",6
Jrg Gtn,2019-07-08T18:14:54Z,AWESOME! Vamos Rigoooooo!,1
AA,2019-07-08T18:06:49Z,"I’m a simple man, I see EF. I hit like.",51
