Yonzich Kwon,2022-10-14T01:08:17Z,this is epic.,0
Michał Drwal,2022-06-27T13:27:41Z,"I am missing those films. I watched most of Rapha Rides for a number of times. And I wish I could see a new one. I have my favourites, but for a new cyclist like myself, I can think of a much worse iconography and empathy to build my outlook and understanding of the cycling today. Thank you.",0
Peter Vollers,2021-12-02T15:59:54Z,These vids paying homage to the stars of the past are just so awesome.  Keep them coming.,0
micheandmikey,2021-10-28T16:01:48Z,"So powerful, I love this stuff!",0
Lee Trampleasure,2021-08-28T20:27:43Z,"Thanks for the great video. Connie, I remember you from 'back in the day' when I went to bike races to see my brother (Calvin) racing. I never made it to the Red Zinger, but made a lot of Nor Cal races, as well as a couple of National Championships (1977 & 1986).",0
Michael Montalvo,2021-08-23T04:46:06Z,"I keep coming back to this video. It's beautiful on so many levels. Oh, that I would be fully present with those who are entrusted to my care.",0
sachin kc,2021-04-10T05:36:19Z,❤❤❤👍,0
Troye,2021-02-24T02:14:24Z,Thank you for this magnificent tribute to life.,0
Boreal Ranger,2020-12-12T04:29:04Z,Rapha will post a video about women's cycling ""becoming invisible"" and then publicly shame Chloe Dygert on their million-subscriber email list for liking spicy tweets.,0
Canyon Wanderer,2020-12-03T00:08:56Z,"What a wise words: ""just trying to be content"" is indeed undervalued, especially now when I view this content in 2020 ...",3
gandhar thanekar,2020-12-01T18:04:55Z,Beautiful,0
Eswar Dhinakaran,2020-09-08T02:49:17Z,We don't ride with the people who don't stop. I love it,0
brian howell,2020-03-24T17:57:53Z,"""without a goal there's not really the future, it's just ... today."" -- a lesson so contrary today's school of thought and yet so beautiful.",26
Rob Martin,2019-12-25T06:21:26Z,Such a terrific piece. What a Legend with some poignant insights. Thanks Rapha and Connie ✌️🤙🙏,0
Elmong Gala Vlogs,2019-10-20T23:30:20Z,i admire people valued the beauty of life,0
Eddie Jack,2019-03-02T09:21:06Z,I love these videos,0
Kon Chittavong,2018-11-07T13:03:51Z,Great message!!!,0
Drew Westbrook,2018-10-29T11:12:32Z,We don’t ride with the people who don’t stop ❤️,4
J,2018-09-18T01:37:22Z,What an inspiring video.,0
Jeff Cottrell,2018-09-05T01:46:17Z,"Great, inspiring video.  Thanks for the contribution and encouragement.",0
H Fit,2018-08-20T16:47:36Z,"I went to CU from 1981-1985 and was a competitive cyclist. Due to the tight culture of cycling and the group rides, (""Bus Stop""), I had the honor of riding with Connie and Davis on many occasions and as you can readily recognize the extraordinary quality of people they both are and were at that time I knew them.  Great memories.",1
jibba02,2018-08-16T11:46:33Z,Beautiful!,0
Nicolò Weiss,2018-06-03T18:00:16Z,"Min 3 is top,what she says the why",0
Tom Chandler,2018-04-07T14:44:31Z,Brilliant. People don't know what Connie and Davis meant to US cycling during the racing boom of the 80s.,1
xxx xxx,2018-02-03T20:01:32Z,"Ale brzydka, okropna !!!!!!!!!!!!!!!!!!!111",0
bodabar1,2018-01-04T07:43:25Z,Absolut Kudos...,0
TimothyjStuart78,2017-09-08T22:11:44Z,Amazing family!,1
Pierre Foucart,2017-08-08T16:02:54Z,I was thinking. This is getting meta. Like Taylor Phinney meta. Then realized that she's his mom.,1
Iandajett,2017-07-25T19:07:43Z,Taylor Phinney's mom,3
Gary Bouch,2017-06-21T13:39:42Z,Beautifully shot & a moving story.,1
tom lortie,2017-05-26T00:21:40Z,Who are the 3 jerks who gave this video a thumbs down? So great to see and hear from the queen of American cycling!!! 👏🏻,0
,2017-05-06T04:32:03Z,wow. Awesome short film!,0
Willie Raus,2017-05-05T03:32:02Z,Connie is truly incredible. I got goosebumps when she was talking about the mastery and ease of the pedal stroke,4
chris,2017-05-04T23:54:56Z,Great film. Great inspiration. Connie is amazing.,2
shofan,2017-05-02T21:11:33Z,""what a gift"" exactly!,8
rich,2017-05-01T14:42:11Z,wonderful video.,0
a c,2017-05-01T14:13:03Z,I'm inspired,0
Grant Gardner,2017-04-29T23:03:29Z,"I agree, best video in a while. Great storytelling.",7
ecycled3d,2017-04-29T22:16:37Z,Thank you Connie (and Davis) for all you've given to the experience that is cycling. And thank you Rapha for capturing this so well.,20
Danielle Payton,2017-04-29T09:07:36Z,"Always introduced to inspiring new people through your videos, love it!",0
Spen45,2017-04-29T08:08:07Z,Another captivating film..thanks Rapha,1
John Thomas,2017-04-29T01:08:56Z,I clicked a thumbs up because there is no heart option.,9
J.Flecha,2017-04-28T21:17:16Z,Amazing!,2
Medium Rick,2017-04-28T20:57:59Z,"Two remarkable people.  Well done, Rapha.",2
Robin Bassett,2017-04-28T20:09:25Z,I think it was their son who finished Milan San Remo (outside the time cutoff) because he knew his dad couldn't but would have loved to still be able. From reading that I am now thankful and love/appreciate  my (poor 😆) cycling as much as I can.,0
Richy Coles,2017-04-28T19:43:08Z,cracking human,1
James Carey,2017-04-28T18:45:54Z,One of your best videos in a loooong time.,25
Stephen Flynn,2017-04-28T16:09:42Z,"What a lovely attitude she has, great film.",1
