Lewis Baker,2022-02-07T18:04:36Z,Usual pretentious Rapha-heads.,0
Swollen Knuckle,2019-04-27T15:25:56Z,Haha. Boulder - the land of the beautiful people. And Rapha - exclusive clothes most of us will never wear. I enjoy these videos though.,0
Kit Lam,2016-07-08T17:53:46Z,This is the last best video actually from the great studio,0
George Gilles,2015-05-28T13:38:30Z,The crank situation is a bummer.,0
Allez Rouleur,2015-05-06T14:07:09Z,"Soul riding. Ah yes, you just need to take out a 2nd mortgage to afford the Rapha jersey, bibs, socks, and mitts. Oh, and then ask someone else to lend you the money for a base layer. In a market of highly priced items, Rapha takes the cake for jacking up prices. At least Assos has been at it for YEARS and let's their product, and their mannequin man, speak for themselves.",4
hulkrace,2015-02-27T04:43:15Z,oh no... who is she 0:19 ??? so cute. wanna bite her!!!,3
weera warakul,2014-10-17T21:35:47Z,""one and a half mile ridiculous climb on dirt to make sure that if they weren't dead they now are"",0
kevin yates,2014-10-13T13:57:22Z,"Good vid, captures the spirit.Wow, the music is really boring",2
Soundtallica in Chains,2014-10-11T07:33:16Z,"I live in Boulder and know every road of this insanely painful route, so my question is why are so many people using road bikes?? If this were a shorter ride I might see the justification for the extra speed of a road bike, but for something 107 miles and 8ish hours I'd want the comfort of a CX bike with 28-32c tires. Plus, Switzerland and descending Sunshine and Logan Mill are already pretty gnarly even on a CX bike.",0
Ian Docena,2014-10-11T00:08:38Z,2:40 i don't remember the title of that song its bothering me!!,0
Ankush Agarwal,2014-10-09T06:56:13Z,James Huang at 2:52. Woohoo!,0
Alex Dove,2014-10-08T03:15:53Z,Great clip! How do I get my group of gents in on next year's RGR? ,1
roborovski008,2014-10-08T02:28:39Z,that's BB30 for you,6
Richy Coles,2014-10-07T19:51:24Z,"real cool looking ride, when can we get something like this in the UK???",1
