Bruno Burdini,2022-08-08T12:44:02Z,Where can I find it for download in good quality and english subs? Thanks!,1
barumbadum,2022-06-06T07:59:29Z,Where can i find full version,1
T59,2022-02-01T19:48:07Z,I never understood how someone taking drugs died from an accidental OD.,0
Pantani98,2021-12-11T16:44:59Z,"MARCO WAS MURDERED BY HOLDING HIM DOWN AND FORCING HIM TO DRINK COCAINE WATER!THERE WERE MARKS ON HIS ARMS & LEGS WHERE HE WAS HELD DOWN!INVESTIGATIONS WERE A ""COVER-UP"", BUT TRUTH SEEM'S TO BE COMING OUT, WITH MAFIA MANSAYING WHAT HAPPENED.99 GIRO WAS ""RIGGED"" IN ADVANCE BY THE MAFIA, WHO HAD BIG BET'S ON THE OUTCOME OF THERACE.EVERYONE IS PAID OFF, SO NO PROBLEM TO GET A RESULT!THE CORRUPT UCI WANTED TO GET THE USA INTO THE SPORT FOR ""BIG MONEY"", SO HELPED ARM-STRONG OUT.",0
Tommaso Boccellari,2021-11-20T21:13:08Z,"Ogni tributo a Pantani è giusto e doveroso: Pantani deve essere celebrato ovunque e per sempre, sia per onorare la sua grandezza, sia per evidenziare l'infamia di chi ce l'ha sulla coscienza.",0
Mark Lewis,2021-08-13T16:56:34Z,"No tortured genius just a doper, end of story. Yes he’s a product of his time but I just don’t understand why he’s held in such high regard when others are cast out.",0
JustAThought!,2021-07-27T22:41:24Z,“Natural” cyclist? Really??? Here’s the problem: he was on drugs on the bike and on drugs off of the bike. He claimed he would “show them” about drug use by taking more drugs after being accused of taking drugs. What is that all about? The documentary seemed to have mixed messages for this viewer.,0
Lo Lo,2021-07-20T19:11:41Z,It's too bad this is not on Netflix,0
Danis ZIRNOW,2021-06-07T13:48:27Z,The best climb ever,2
oojedioo,2021-05-28T12:54:20Z,One of the best documentary’s I’ve ever seen…….what a rider what a climber……attacking 100km out is just biblical.My all time favourite rider rip Marco 💙,4
Patrick Nedelec,2021-04-28T14:22:41Z,"Le meilleur d'entre tous, une légende",1
Leonardo Ciucci,2021-04-12T15:04:02Z,pantani cuore d' italia,0
Om Bhujade,2021-01-22T10:14:53Z,When is the film coming if this is the trailer...????,0
Garth Hunter,2020-08-10T20:13:37Z,Up,0
BOROSUN,2020-06-30T01:30:37Z,"Test a 410 watt make it at 16 years old no dope at that age, the God of Mountains!",2
Mark Jones,2020-06-11T14:46:29Z,"What is the orchestra music, the violin piece where pantani is on his own riding on the documentary. 4.22. I would really appreciate it if you could let me know! What a piece of music! ☺️",0
Petyr Kowalski,2020-05-25T11:53:24Z,"We all know he was doping, but they all were then. He was awesome and an incredible climber.",1
ILMANDRIANO,2020-05-12T19:08:17Z,Marco always in my heart miss u champion,6
alessio 1978,2020-05-11T06:25:25Z,Anche io smetto di correre,0
Sid,2020-02-23T13:04:59Z,Too much doping..,1
Have a Break,2019-10-04T07:40:46Z,"That’s a shame that Pantani died before know the truth, he was the only rider who fought Armstrong. He just had a deep depression after loosing the tour with Lance and I would not be surprised to discover that uspost management was conspiring against Pantani as he was the only rival.As well I think Armstrong was part of a big marketing program made for the pharmaceutical companies, with him like a super strong anticancer  testimonial who could give a hope to the people for the next 20 years. Quite big money around this business isn’t??Just put together the puzzle and follow the money and you will discover the true.",6
Sato M,2019-02-07T18:07:41Z,Viva Pantani! ♥️♥️,2
Aaron Chetcuti,2019-01-16T10:25:24Z,Can  anyone give me a link of where I can find the film?I have browsed all the web and I can not find it.Thanks.,0
Davide Brunati,2019-01-11T08:42:05Z,Sad but true....,0
Chi Zhang,2018-11-17T14:42:20Z,"he died doing what he loved, doping",0
deonfenbauer comments,2018-11-12T15:26:45Z,Pendant perhaps the most iconic rider to ever win a tour de france! Hard not to like him! Unbelievable climber Gradissima persona fuera de su Amanda bucicleta!,0
grindupBaker,2018-08-07T01:52:05Z,Back in the day I was a regular Pant Annie.,0
mcolombari40,2018-07-30T14:58:08Z,"Pantani NEVER wanted to take doping, never wanted to bend by the wish of U.C.I. and he didn't want to gratify the mafia of the legal and clandestine bets, for these motives they have made a plot to make him stop, to ruin his life and finally to kill him with a fake suicide.   ONLY NOW these things are verified by the investigations and by the trials that rehabilitate him completely... but judges cannot punish the responsibles because the charges are now in prescription. He was a natural talent with unique physical dowries... good tempered in race, weak character in life.... strong climber like Pantani one born every 50 years.",1
x x,2018-05-02T11:33:57Z,Superstar plus ++++++++++++++++++++++++++++++++++++,1
Cycling YT,2018-02-15T21:19:09Z,Pantani😭Purtroppo quando sei morto io ancora  non ero nato... neanche il tempo di farti il tifo😭Chissà ora Dove sarai... sicuramente in un posto migliore di questo...,8
mortadha ben,2018-02-08T22:04:13Z,The end of a phenomenon,0
Steve Cooper,2018-01-22T17:08:40Z,Got to love the armchair YouTube ""experts"".,2
Francesco Ragusa,2016-11-22T22:05:44Z,Marco Pantani è stato il più grande scalatore della storia del ciclismo 🚴,11
Pepinus,2016-07-25T16:27:01Z,aren't cycling deaths always accidental?,0
roland demjén,2016-07-12T15:13:58Z,Pantani is never die,7
Pedro Filardo,2015-07-30T13:23:42Z,AKA the last giant on earth,2
pedrao420,2015-07-10T20:53:17Z,PANTANI VIVE,3
sergio giappi,2015-07-05T11:49:51Z,MARCO VIVE !!,3
stuiep1983,2015-06-23T17:11:44Z,"I see a lot of people saying he's a legend, no he wasn't. He was a cheat like the rest. Conspiracy theories abound, laughable. The guy got caught cheating, couldn't handle being banned, turned into a paranoid cokehead and died due to taking some extra strong sniff. Check his heamatocrit levels through a season, its rediculous. Never have idols in cycling, admire there style and technique, but never worship a cheat.",21
stoenchu122,2015-06-03T16:45:32Z,where I can download it ?,1
fvillal,2015-04-23T13:22:46Z,Where can I purchase a copy of this film?,0
George Gilles,2015-03-03T07:16:03Z,Pantani is a legend. ,32
Johannes Frederik Lykke - Olesen,2015-01-19T12:15:15Z,"Marco Pantani died from cardiac arrest as a result of EPO. The viscosity of his blood was so high, that his heart failed. R.I.P.",0
Bob .Grant,2014-11-30T15:12:18Z,A great talent.,2
Niko F.,2014-07-23T18:11:20Z,"If people can remember Indurain and his races back those days, Indurain was a complete package of a racer. He was a great time trialist, he could climb well, he had such power with his height that he destroyed people slowly but surely, gaining time when ever he could. We can criticise Pantani, but i loved watching Pantani race, he wasn't the best at time trials, not the best tactical racer in the pack during the non mountain stages.. But hell he was a beast of a climber, and he did it in such fluent dancing manner that it would look like he was just practicing musical scales. RIP, a great champion, cycling is so boring without Pantani.",27
TheDuckRides,2014-07-04T22:12:35Z,"just watch the first 40 seconds, this is why I love him, respect him. No one can climb like him",38
My Watch Venture,2014-05-22T09:07:03Z,Very interesting doc. Made all the more poignant with the interviews with his mother.,1
Ulleval73,2014-05-18T21:12:05Z,"Doping pre-dates Pantani, e.g., Fignon. There is Riis, for instance. Armstrong of course; and others, too. May not be happening lately; however, when the chemists find a concoction that can fool the tests, doping will be back. ",1
elchuy lopez,2014-05-06T01:44:33Z,Mi idolo!,11
Fandango,2014-03-16T09:22:15Z,"I loved Pantani but read the book first, please, He doped from being an amateur, another hero with clay feet. David Miller when he was clean, beat Armstrong the king of cheats. Armstrong took cheating to a different level. Pantani needed to admit he was nothing without the EPO. As for the coke, if you can stick needles in yourself what's a line of nose candy..!! ",3
MrGuidobelcanto,2014-03-09T01:31:32Z,"10 years after his untimely tragic death, a film about the rise and fall of the most artistic cyclist ever. I had the honor to meet him in 2001 and to sing a song for him. Marco was happy as a child by this musical tribute I gave him. Unforgettable moment, unforgettable man.",18
k han,2014-03-07T22:04:06Z,Legend!,8
Bill Scheitzach,2014-03-07T00:14:14Z,"Marco Pantani was a doper.  The only difference between him and Armstrong is that he never won as big, and he offed himself with a drug overdoes in a hotel room in Italy.",2
Murad Talukdar,2014-03-06T21:57:31Z,Elefanto!,1
Adrian Gaveglia,2014-03-06T12:35:05Z,"The difference between Pantani and Armstrong? Pantani was the scapegoat for Cycling while the rest of the Peloton doped up. They allowed him to be the scapegoat so that they could prosper. They threw him to the lions nad made him the leper. They destroyed a human being.Armstrong was the biggest winner of his downfall,  it give cycling a shield to cover up all the doping. Pantani, history tells us, physically had the anatomy of a grand tour winner, regardless of doping, Armstrong did not - 10 stone plus riders don't win grand tours without assistance. Does anyone really believe Armstrong would have won in 99 had Pantani been there?????So when Lance argues it was a level playing field he seems to forget that Pantani wasn't on the same playing field.Forza Pantani!",26
Road Glide,2014-02-26T10:21:34Z,Kevin Lockwood-OJ Simpson was a legend in your mind.,1
sultanabran1,2014-02-20T02:57:35Z,"far out, how out of touch am i? i didn't even know marco pantani died. he was my favourite rider in the 90s.",0
jangolynx,2014-02-19T12:03:40Z,"Really looking forward to seeing this: loved the flamboyance and excitement Pantani always brought to those mountain stages!  Another excellent book is by his manager Manuela Ronchi, Man On The Run.",1
EMC2Scotia,2014-02-19T04:11:04Z,"When it comes to entertainment, and sports is wholly and solely that, there will be drugs involved. A man of his times, but a wonderfully flawed character, who felt contrition for what he'd done and what he was a part of. Looking forward to this documentary. ",1
Federico Michelotti,2014-02-18T17:34:09Z,"People that says that Marco Pantani was a doper, should be shut the mouth and inform themselves better about the story of Marco! Don't compare Pantani with a real liar and doper like Lance Armstrong! ",32
cameron taylor,2014-02-17T23:38:05Z,"Very apt upload date, 10 years to the day Pantani died R.I.P",5
Road Glide,2014-02-17T16:15:13Z,"No disrespect, but, he was a doper.  Having said that, you still gotta do the training, the work, climb the steepest most challenging of mountains at wide open throttle and descend even faster if you want to win and bear the pain. Marco lived his life his way. Too bad he died.",1
Ketten Blatt,2014-02-16T18:32:17Z,can't wait for it!!!,3
Chaz B,2014-02-15T08:24:27Z,LEGEND !  ,3
Lynne Watanabe,2014-02-14T18:59:04Z,Looks good. Looking forward to seeing this.,2
Adrian Tate,2014-02-14T14:42:25Z,worth seeing,1
Jim Golden,2014-02-14T14:39:14Z,Bless you marco,2
Cristian Pinto Fernández,2014-02-14T13:24:38Z,Il Elefantino vibra per siempre nei nostri cuore,1
