Mike Bridges,2022-11-22T21:50:55Z,"Still today, this film is the best. Essenence,  Spirit and Style. Just magnificent.",0
Martin Looter,2021-11-18T22:58:32Z,amazing. can feel it,1
ATango,2021-06-11T04:57:59Z,Nice Moots. Love the music.,0
Tomás,2021-06-06T21:00:47Z,Master piece,0
Clément Van Londersele,2020-12-22T18:34:39Z,Les deux plaisirs de ma vie : la grande musique et la bicyclette... Tout cela agrémenté de passage en forêt noire et nimbé de la lumière de la Bohème-Moravie. Irrésistible.,1
drewmartinezart,2020-05-04T21:20:41Z,Love the classic looking road bikes,0
Jairo Machado,2019-10-29T09:01:45Z,...maravilhoso...pedalar é viciante...,0
Lorenz Siggel,2019-05-15T07:00:44Z,Superb film! I like all your films. A “Making of...” video would be very  interesting to see the work that goes into a short clip.,0
ya boi Jeff,2018-02-01T19:53:05Z,Look at those nerds in their fugly overpriced kit,0
김룰루,2017-11-01T15:30:30Z,"rapha make not just cloth for cycle, they make culture. wow i was so fascinated with their films.",3
Silvestre Malta,2015-09-13T13:29:44Z,"Gosto da música, muito bom ! estes gaijos são uns felizardos",0
George Gilles,2015-06-28T00:16:09Z,Nice video. ,0
mobytoss,2015-06-08T20:42:29Z,Nice little touch using the music of Mahler for the soundtrack to Bohemia,12
Charles Lam,2014-02-22T04:00:28Z,love these video's i'm totally addicted to em.  more!   MOOREE!  :D,3
77Waldschrat,2013-08-28T22:36:40Z,It´s Ještěd mountain,1
djmarco90000,2013-06-05T19:40:48Z,"Oh come one. Brands like Castelli are just as good, and cheaper!",1
livibam,2013-04-28T08:26:36Z,how does 1 do that? without lowering the quality of the product?everything down to the stitching is incredibly high quality.,1
Marco de Vries,2013-02-07T13:46:24Z,Why no words? Germans are fun!,2
babiju13,2012-12-12T00:13:48Z,:),0
vooruitgaan,2012-09-01T11:19:20Z,"stirrin some old ghost , bin there see it , which mountoan is it .",0
CHEEZ ON FIRE,2012-09-01T03:18:04Z,Lower your prices.... Love the videos,1
juan grisales,2012-08-24T18:41:55Z,same here ,0
Lance Bonner,2012-08-23T19:24:10Z,Makes feel bad that my daily rides are not this pretty.....,0
Bryant R,2012-08-17T00:59:50Z,I wish I could afford to buy your stuff. I feel guilty for watching these videos for free.,1
kdubphoto,2012-08-14T18:28:18Z,Rapha!,0
