sweatnosweat,2020-12-08T15:58:52Z,BCN,0
C z,2020-03-08T16:21:27Z,bisschen teuer ne,0
Nice 'N' Sleazy,2020-03-04T12:21:59Z,still made by fizik?,0
bluemystic7501,2020-03-02T21:18:04Z,Zone 5 group ride? lol,3
Thomas Matta,2020-03-02T21:09:55Z,outstanding 💎💎💎💎💎💎,0
SC Park,2020-02-27T13:40:15Z,Never seen black road-biker.,1
Crit Whit Cycling Vlogs 3.0,2020-02-27T00:04:47Z,Amazing‼️,0
금개구리 -LIFE:RIDE,2020-02-26T10:12:01Z,👍🏻👍🏻🙏🏻🚴🚴,1
James Bernardo,2020-02-26T05:46:45Z,damn need more of those shots at the end with just the wind noise,0
Steven,2020-02-25T22:30:59Z,finally some non-lace shoes! beautiful clip!!,2
Allez Opi-Omi,2020-02-25T19:47:32Z,Fixed cleat position and true weight is well above claimed weight. Absolute joke! They're also hideous and exorbitantly priced imo. Rapha fan boys will buy them anyway I'm sure,0
Harry Dowdney,2020-02-25T19:11:04Z,Insteption,4
Road Glide,2020-02-25T18:39:00Z,Gorgeous. Can I say gorgeous shoes? A Cinderella Story. Sweet!,1
AstrayAgrarian,2020-02-25T17:41:10Z,And not a single rider had rim brakes....,0
Kevin views,2020-02-25T16:37:25Z,Old Rapha feeling with modern cinematography. Captures the tension of riding so well. Outstanding work.,8
Paul Whitelock,2020-02-25T16:30:24Z,"Wow, that's a fantastic video. Can't wait for my new shoes to arrive.",0
ehyoumon,2020-02-25T15:32:04Z,They still $600?,2
Costas Mandylor,2020-02-25T14:42:20Z,Was this filmed in Los Angeles?,0
Harry Tzianskis The God of Speed,2020-02-25T13:01:20Z,Its not the shoes its the legs. I can drop them in my flipflops ha ha ha ha,0
davidvonslingshot,2020-02-25T12:38:17Z,When will you be releasing the BroTeam version?,3
ippusor,2020-02-25T12:18:26Z,Animation game on top,0
Smile,2020-02-25T11:16:38Z,yeah disc brake go go~,0
Flo Dahm,2020-02-25T10:14:10Z,video-production level just keeps going up. these are starting to look like apple ads. just makes you wanna ride....and i guess most importantly pull out the Credit Card and buy the shoes....,22
Lan Huang,2020-02-25T10:04:36Z,fwoar,0
/WSNX,2020-02-25T09:59:21Z,appreciate the diversity in your spots.,4
David Bodah Christiansen,2020-02-25T09:42:55Z,True love.,0
