Shawn McDonald,2022-07-31T03:19:16Z,"I met this family in France in the 2000’s. What a sincere, humble family. You’d never guess they were world class athletes unless they told you. Best wishes to them both.",0
Pat Premdas,2020-12-04T15:19:40Z,"Tham you Rapha Films, for this wonderful story.",1
Rob V,2020-10-25T14:19:09Z,Nice job!!!,0
Rich G,2020-07-07T16:29:08Z,Davis & Connie were my cycling heroes back in the 80s and 90s. Now they're my heroes for living. Thanks for sharing their story. Thanks to Davis & Connie for your amazing spirit.,1
David O Brien,2020-07-06T00:09:44Z,3:35 Simon Cowell?,0
Dan Sotelo,2020-06-10T01:47:39Z,"Dear Connie & Davis, as I get older, you were & continue to be an inspiration.  When you were young racing the Coors classic & the 84 Olympics I was working for the Japan Group (ie Shimano, Tioga, etc etc), and I was a Cat-1 having the time of my life.  Just like you, that's when I met the girl of my life Connie Shim (Korean), who was the secretary for Shimano USA Ken Fujimura. Both she and I were sent to San Fransisco to attend the Coors Classic start and when we saw each other, it was love at first sight.  We were happily married 24 years.  My wife and I eventually went on to found onZa.   Its so nice to see you guys and hopefully holding together.  Sincerely Dan",0
bob,2020-06-04T23:22:11Z,My memory is kinda iffy but I think Davis once lapped a crit peloton four times. He was on another level.,0
Miles Cobbett,2020-05-13T02:02:53Z,Connie didn't you ride a Ferdi Kessels frame Main D'or? I owed one in Santa Cruz frame #32,0
Patrick Loo,2020-05-05T05:24:43Z,Love these people.,0
whokitkat,2020-05-02T11:38:01Z,Davis is just a kool sprinting dude!  Thanks for helping to shape of cycling in North America!,0
Darin Busse,2020-04-01T16:15:26Z,"I just came across this film, 6 years after it was released!  The first time I saw the Coors Classic was the day after Davis and Connie withdrew to prepare for the Olympics.  I enjoy watching my DVD series of the Red Zinger/Coors Classic over and over.  Bike racing in the 1980's in America was a special time.  It was great to see this video.  Thanks for the trip down memory lane and to reconnect with Michael Aisner and company.  Please keep making these great videos!",0
Mark R,2020-03-24T08:06:15Z,"Davis and Connie, after all these years, they are still winners!!!",0
chris HANDS,2020-03-15T14:17:24Z,“Everybody knew who Connie was my Family knew Davis”😂,0
RGCastro7,2020-01-17T02:01:25Z,Beautiful tribute to some amazing people!,0
Nojikuzus,2020-01-15T17:30:51Z,Who would 'thumbs down' this?   Lame,0
eveanddell,2019-07-04T16:47:28Z,This was a beautiful piece. Thank you.,1
santiagobenites,2019-06-01T03:55:29Z,"The parents of one of my favorite bike racers! Actually, I watched the entire 1984 women's road race, and then the men's, and immediately fell in love with cycling and racing. The very next day I went to the bike shop where I'd purchased a 10 speed just a couple of weeks before, and asked them if I could trade it in for a racing bike.",1
Lite Roadie,2019-02-22T02:18:33Z,Connie has such a sexy voice and accent! What is it?,0
Tyler Benson,2018-08-24T22:23:44Z,"Thank you for this film. Davis immediately reminded me of my dad who also has Parkinson's and was a huge cycling enthusiast. He talks just like him, I could tell before he even said he had Parkinson's.",0
rcdogman duh,2017-07-18T20:47:47Z,Phinneys = legends,1
a magpie,2017-07-15T02:44:12Z,simply amazing!!!! his son seems to be a wonderfull chip off the old block. what grace and insight great film gang kudos,0
Cesar Omiste,2017-07-04T05:36:34Z,"Davis Phinney, a class act on the bike as a pro and now away from professional cycling even more courageous and inspiring. Thank you Davis.",3
Greg Loper,2017-05-04T02:17:32Z,well done!,1
whokitkat,2016-01-16T02:30:13Z,These two are legends of Bike Racing in North AmericaThanks for paving the way with your love of cycling,8
chris,2015-11-30T23:40:01Z,"Thank you Rapha and Ben for this wonderful film, and Thank you Davis and Connie for being such an inspiration.",7
Dale Reves,2015-06-22T18:10:14Z,"Wonderful film that captures their incredible story and personalities.  I'm still cheering for you, Davis and Connie.",0
Uncle Jeff,2015-05-30T17:24:34Z,So very glad I got to see these great clips. Of the bike racing I grew up with! Loved you guys! You were my Hero's! and still very much are ... Thanks and take care Davis!!!   GO TAYLOR!!!,0
BIGD_OSpinner,2015-05-26T22:35:04Z,Great film... what a magnificent pair of cyclists... Colorado represent!,6
Nextto Aneclair,2015-04-15T20:27:08Z,super fantastic,1
Wayne W Bishop,2015-03-03T04:18:50Z,Outstanding. Thanks for the wonderful memories. This needs to be seen by more people!,16
Ryan Dawson-Erdman,2014-11-20T02:20:49Z,"Speaking as somebody with Parkinsons in my family: Thank you to Davis Phinney for taking the time to make this, you're a hero. ",23
Kenta Kawachi,2014-09-16T03:58:56Z,what a family,1
sleg8,2014-09-06T22:39:49Z,Great story. Best rapha film!,2
brianmcg321,2014-09-06T00:23:16Z,Awesome.,4
kdubphoto,2014-09-05T21:28:54Z,what a wonderful story. Thank you for reminding us of the two greatest cyclists of all time,3
