Bangun Oktavian,2021-07-22T01:30:52Z,"this is great, welcome to Indonesia. So, when will y'all go back here?",0
Canyon Wanderer,2020-12-07T22:49:31Z,"Very nicely filmed as usual, and as a bonus for me a flashback to walking around the Burubudur at sunrise,  an experience of a lifetime!",0
Irawan Fajar Kusuma,2019-08-02T21:51:12Z,cool...,0
David O Brien,2018-10-17T18:13:16Z,Y'all ever hear about the concept of gearing?,0
C345 OFR,2018-06-09T15:32:28Z,"Yeah, you only need to learn about tramlines once. You never make that mistake again.",0
Muhammad Rizmi,2018-01-05T02:52:08Z,kereeen udah bikin video di indo ternyata 🖒🖒🖒,0
Triple Ace,2017-03-26T08:35:23Z,"Just a guess....the place you rode seem to be quite humid. But, indeed, an inspiring Rapha collection. The road were steep.",0
George Gilles,2015-06-28T00:38:47Z,The cat eye works well.,0
Codename : Arshlen,2015-05-23T23:34:36Z,i feel you guys,0
ThePowerate,2014-09-06T13:14:21Z,My country ... Indonesia,3
weera warakul,2014-07-14T06:34:14Z,my kind of terrain,0
abu arjuno,2014-03-01T14:24:36Z,"edan, asli keren tenan iki, wong munggah kono nggo motor wae ngeden opo maneh nggo kempol.",1
brianmcg321,2013-01-28T22:59:16Z,"Is it just me, or does anyone else think they would have a better biking experience with bikes that could take 28mm or 32mm tires?",3
Bimo Rahmantyo,2012-08-15T21:08:50Z,my hometown ,1
Pete Low,2012-07-17T05:16:46Z,"Cyclists are awkward looking enough off the bike but when placed with a backdrop like @ 1:47 it's pretty funny. Love these videos, keep it up Rapha Films!",0
livibam,2012-06-13T12:12:07Z,bravo....,0
BigBlackPug,2012-06-11T17:43:16Z,Wonderful film again.I held my breath for seven minutes!Time for some Apex gearing I think!!!,0
TheCyclist0ntherun,2012-06-09T13:57:18Z,Another Rapha great!,0
Daydream Valley,2012-06-09T11:52:37Z,Some of those climbs were insane!,0
josh weetch,2012-06-09T08:30:41Z,so good!!!!!,0
