Susan Hashem,2020-08-15T16:52:47Z,Diversity in landscape yet not in the riders.,1
Lorenz Siggel,2019-02-12T18:08:03Z,"The PNW is awesome! Great videos but not a fan of the expensive lifestyle clothes. Too old, too fat, too slow for Rapha. But I love to ride my  bikes!",1
C345 OFR,2017-07-01T17:45:02Z,"50 flats, lol. Not surprised.",1
Triple Ace,2017-03-26T08:26:02Z,To me  simply one of the best Rapha videos....,2
Charles Man,2016-02-07T21:01:25Z,Great videos. Can't afford to spend that kind of money your clothing.,9
Greg Harvey,2015-12-27T03:17:20Z,Great stuff. I am fortunate enough to live in Washington. Great place for riding. Thanks for the video.,1
Iam Sam,2014-01-23T00:11:47Z,Id like to ride with them but I ride a single speed and I'm sure they would frown upon that no matter how bad ass I am.,1
manu2958,2013-09-01T02:39:24Z,"Great video, May you give me  with the snack recipes ? Thanks you  ",0
MIKE JONES,2013-08-16T11:18:52Z,"I wanna be privileged white boy too . . . oh wait, I already am",1
livibam,2013-08-10T07:31:11Z,"i think they do, within the cycling community.but u are right, they are very well shot and edited :) ",0
Gianni Ottone,2013-08-09T23:53:26Z,I don't think Rapha gets enough credit for how great these videos are,10
James Carey,2013-08-09T16:12:03Z,Is it me or does the first speaker look like Feyd Rautha a little bit with that jacket?,0
Richard Coles,2013-08-09T15:47:36Z,Just awesome. Just go ride your bike,1
DezGP,2013-08-09T15:22:40Z,I used to race street luge and downhill skateboards down the Maryhill road when I was younger. Amazing piece of road. Actually the first paved road in Washington!,0
