title,video_id,duration,release_time,view_count,likes,keywords,description
Rapha Films Presents | Descent (Feature Film),kMazM7DlFz8,1hour6min49sec,2022-11-21T12:00:26Z,146655,2608,"Following a near fatal crash in 2021 that left her bed-bound and unable to walk, Ana Orenz could think of only one correct course of action - to return to the race that nearly killed her just one year on.Pitched to Rapha on the terrace of Kendal Mountain Film Festival in 2021 by Best Short Film winners Rufus Exton and Steve Bliss, Descent tells the remarkable tale of a life lived in devotion of the bike, where passion becomes obsession and the tests of true strength go far beyond the physical - when the ultimate test of endurance exists inside the mind. A working, single mother and ultra distance cyclist, Ana’s life is geared toward solitude but has been shaped by the presence of others. From childhood disability to triple-everesting and then sustaining life-altering injuries, this is the journey of coming to terms with a body you no longer recognise and relearning what it is, and is not, capable of.#NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Films Presents | Tour De Force,y_4HmW3Ra4w,42min30sec,2022-09-05T19:00:12Z,85855,1984,"It’s been 33 years since women last stood on the startline at the Tour de France. This year, they returned to show the race just what it’s been missing. With a powerful squad packed full of character, EF Education-TIBCO-SVB had six spots to fill. We followed the team behind the scenes throughout their journey to the Champs-Elysees and beyond, experiencing the ups and downs, tears and triumphs that surround the biggest race in the world.#NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Films Presents | In Tandem,LaraJLDNplM,18min14sec,2022-07-18T19:00:11Z,49231,1245,"There’s no team quite like L39ION of Los Angeles. Borne from a brotherhood intent on shaking up the sport and creating meaningful change, they’re a team packed full of individuality, but united in more ways than one. Founded by Justin and Cory Williams, intent on driving diversity and inclusion in cycling, the team now boasts two sets of sisters, Skylar and Samantha Schneider, plus Kendall and Alexis Ryan. Exploring the unspoken bond that shared experience brings, this film is an intimate look into what it means to ride beside your sibling, and the untouchable understanding that ties you together.#NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Films Presents | Thinking Clearly,l87bSa1ekBI,14min45sec,2022-06-06T19:00:21Z,70729,1249,"He might not be a household name but for many cycling fans EF Education-EasyPost sports director Andreas Klier is a living legend. Renowned for his next-level knowledge of every cobbled sector from the Tour of Flanders and Paris-Roubaix, Andreas is only too aware that professional cycling demands complete dedication. To be in this game you have to give all you’ve got so away from the races he seeks relief amid the peace and quiet of his art studio. In this film we find out what keeps Andreas riding today and why painting is a part of his life in the peloton, not an escape from it. #NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Films Presents | Gone Racing,AwA6dcLwW1I,36min46sec,2022-12-23T20:00:06Z,158070,2683,"Our last film of the year follows three EF team riders on their progress at the first ever Life Time Grand Prix series. Consisting of six races spread out across the US, this was an altogether new kind of competition. As the opportunity for road racing in America has waned somewhat in previous years, a new form has emerged. Off-road racing has announced itself onto the scene, with races popping up all over the country. The Life Time Grand Prix series is the first of its kind, this year consisting of three gravel and three MTB races, as well as an equal split of places and prize money for men and women.EF Education-Easypost riders Alex Howes and Lachlan Morton, and EF Education-TIBCO-SVB rider Emily Newsom all lined up as part of their alternative calendar, where lines between the WorldTour and off-road racing are becoming increasingly blurred. With varying approaches to racing and life commitments, this film is an ode to our original Gone Racing films, but with a look to the future of the sport. We send off Alex and Emily whilst documenting the unpredictable trials and unforeseen triumphs of riding this uncharted territory.Music by Builder's Tea and Emily Newsom.#NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Films Presents | Tour de Force (Trailer),Midz8UA3zvg,1min,2022-09-03T20:57:51Z,591,0,"It’s been 33 years since women last stood on the startline at the Tour de France. This year, they returned to show the race just what it’s been missing. With a powerful squad packed full of character, EF Education-TIBCO-SVB had six spots to fill. We followed the team behind the scenes throughout their journey to the Champs-Elysees and beyond, experiencing the ups and downs, tears and triumphs that surround the biggest race in the world."
Rapha Films Presents | In Tandem (Trailer),pTGMbzmQuls,1min1sec,2022-07-15T19:53:11Z,967,1,"There’s no team quite like L39ION of Los Angeles. Borne from a brotherhood intent on shaking up the sport and creating meaningful change, they’re a team packed full of individuality, but united in more ways than one. Founded by Justin and Cory Williams, intent on driving diversity and inclusion in cycling, the team now boasts two sets of sisters, Skylar and Samantha Schenider, plus Kendall and Alexis Ryan. Exploring the unspoken bond that shared experience brings, this film is an intimate look into what it means to ride beside your sibling, and the untouchable understanding that ties you together.#NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Films Presents | Descent (Trailer),sSBEE1uPVXs,2min8sec,2022-11-07T20:40:40Z,36552,1049,"Buy tickets for the premiere at Kendal Mountain Festival: https://tickets.kendalmountainfestival.com/events/19-11-2022-19-15-descent-feature-film-presented-by-raphaFollowing a near fatal crash in 2021 that left her bed-bound and unable to walk, Ana Orenz could think of only one correct course of action - to return to the race that nearly killed her just one year on.Pitched to Rapha on the terrace of Kendal Mountain Film Festival in 2021 by Best Short Film winners Rufus Exton and Steve Bliss, Descent tells the remarkable tale of a life lived in devotion of the bike, where passion becomes obsession and the tests of true strength go far beyond the physical - when the ultimate test of endurance exists inside the mind. A working, single mother and ultra distance cyclist, Ana’s life is geared toward solitude but has been shaped by the presence of others. From childhood disability to triple-everesting and then sustaining life-altering injuries, this is the journey of coming to terms with a body you no longer recognise and relearning what it is, and is not, capable of.#NeverJustARidewww.rapha.cc/stories/never-just-a-ride"
Rapha Gone Racing - Tulsa Tough,5nP8J0D0ynA,25min40sec,2021-07-26T19:00:12Z,167406,5430,"Tulsa Tough is an annual three-day cycling festival set in Tulsa, Oklahoma. Home to huge crowds and a notoriously generous prize purse, it’s a favoured venue for some of America’s biggest crit racing talents – drawing the nation’s best riders to its tight and tumultuous street circuits. In 2019, the races played host to the then-new L39ION of Los Angeles team. This year, Justin and Cory Williams, together with their diverse band of talented racers and a newly-formed women’s team, returned to Tulsa on the hunt for repeat success. With a clutch of wins as well as the overall for both the men’s and women’s categories, it’s safe to say the squad made their mark (again) in Oklahoma. Gone Racing goes behind the scenes to cover the three days of action – and inspiration – from L39ION’s perspective. #GoneRacingMusic: Builder’s Tea - https://builders-tea.com/——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Rapha Gone Racing - Unbound Gravel XL,rrqAMz4KFho,10min24sec,2021-07-16T18:00:11Z,180066,4583,"She started out riding her bike to work, then discovered she could get across town before eventually travelling all the way to the next city to see her sister. Now, Lael Wilcox is an ultra-distance racer renowned as a fierce competitor on the bike and one of the friendliest people you’re ever likely to meet off it. In an episode of Rapha Gone Racing that has been a long time in the making, we follow Lael to the home of gravel racing in Emporia, Kansas for Unbound Gravel, a race reborn after a year out in 2020. Only this time we’re going long… With a 350-mile course, Unbound XL gets back to the self-supported spirit of gravel racing and requires riders to race through the night. In recent years, the event has been attracting increasing numbers of women and through her riding Lael hopes to encourage even more to take the start and believe that they can compete with the whole field, not just other women. That’s what Lael does and for any women out there watching, she has a simple message: “If I can do it, so can you.”#GoneRacingMusic: Builder’s Tea - https://builders-tea.com/Cover photograph: Rugile Kaladyte——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
