awesome,311
filming,12
great,734
story,119
thanks,261
making,88
absolutely,73
inspiring,192
woman,39
mother,6
raphael,3
true,51
hero,34
think,114
rapha,752
team,270
made,104
easy,11
quit,12
sit,7
figure,4
way,142
home,14
eventually,3
would,204
decided,5
continue,29
main,5
thing,82
learned,3
watching,126
sporting,5
event,26
nearly,7
end,73
know,167
going,104
win,60
finish,22
race,192
even,113
last,59
winning,36
everything,50
ana,45
half,13
already,20
feel,76
need,94
comment,10
tough,19
time,165
understand,25
feeling,21
honestly,10
look,87
fine,13
meet,17
say,54
clearly,14
lady,17
super,46
fit,14
stubborn,3
says,25
otherwise,7
something,76
wrong,18
rather,13
wish,53
fitness,2
best,266
wishes,8
future,29
honest,20
video,612
several,16
accidents,3
live,49
dangerous,7
love,643
riding,189
though,51
darkness,2
animals,2
merely,2
night,16
horror,4
stories,35
although,3
good,299
bicycle,27
amazing,309
work,123
film,399
crew,32
watch,146
consider,3
strong,33
set,15
aside,2
doubt,9
self,17
pity,3
brain,7
thank,229
bravery,2
share,19
cry,9
felt,19
sorry,19
also,85
gave,15
inspiration,81
high,33
hopes,2
truly,62
may,25
❤️,20
holy,6
shit,54
wow,99
oh,40
goodness,2
raw,8
refreshing,5
thankful,5
involved,26
beautiful,218
tragic,2
human,40
spirit,37
face,22
adversity,2
able,20
walk,4
enough,41
cyclist,87
freedom,10
wheels,16
inspirational,91
beings,2
ruby,6
hundreds,4
videos,239
brought,13
tears,10
hope,114
present,7
similar,10
motivate,4
us,87
forward,63
cycling,505
life,110
films,153
like,452
help,20
make,121
plastic,2
tell,45
lot,62
done,191
improve,3
scars,2
emotional,11
never,116
give,50
anna,14
lesson,6
wonderful,56
god,21
bless,10
daughter,9
ing,4
stuff,95
cheers,50
glad,33
one,325
cried,2
moving,13
relate,11
thinks,3
looks,78
bad,69
yes,51
slight,2
changes,6
nose,3
really,284
soon,21
bom,8
trabalho,6
sempre,4
brings,14
whole,35
new,100
meaning,6
word,18
endurance,16
rider,73
ego,2
speaks,4
find,54
reasonable,2
balance,6
sport,109
enjoy,38
years,93
come,73
tho,6
thoroughly,6
enjoyed,53
someone,41
broke,5
bones,4
right,93
arm,6
rides,60
extra,6
seeing,46
moment,24
bed,8
injured,3
still,88
happy,40
focusing,2
pedaling,6
motion,8
feet,8
hits,7
single,14
instant,4
see,266
must,31
taken,10
courage,8
pull,6
including,4
scratching,3
2nd,7
courageous,5
longer,11
shows,21
mirror,2
sharing,50
pain,16
walking,7
makes,92
real,53
brave,10
races,70
medals,2
always,144
taking,27
biggest,10
punch,3
showing,15
next,107
day,128
kick,4
ass,23
strength,13
perseverance,2
i’m,49
amazed,4
well,264
you’ve,2
back,143
considering,2
extent,3
crash,12
said,39
please,141
treatment,3
specific,3
includes,2
terrific,4
exceptional,3
person,39
it’s,57
attempt,5
difficult,5
subject,2
sure,50
ultimately,2
put,47
together,32
steve,12
however,10
else,36
comments,19
mentioned,5
deeply,4
conflicting,2
hand,12
pursuit,2
goals,6
side,34
coin,2
cost,7
achieving,2
sides,2
enjoyable,8
close,8
inspired,41
history,15
behind,32
father,4
ill,7
goes,13
beyond,9
joy,14
wouldn’t,3
without,40
you’re,19
phone,6
call,13
48,3
13,7
couldn’t,7
imagine,25
don’t,31
mind,27
show,42
she’s,12
worst,12
accident,10
breakdown,3
front,10
camera,21
wait,74
year,149
uploading,2
edited,15
people,193
especially,22
👏👏👏,6
little,52
girl,19
staring,2
concern,2
shock,2
strava,11
ride,378
every,103
since,31
2020,35
rain,17
sun,5
cold,20
sick,47
300,4
km,8
week,16
15,21
thousand,5
check,15
goal,9
turn,8
city,53
copenhagen,3
safe,14
healthy,3
cities,4
children,6
encourage,3
raise,4
awareness,3
mainly,2
women,47
use,30
order,5
community,31
brilliant,81
production,37
youtube,45
i’d,13
content,79
thought,46
quite,13
awe,4
needed,12
measure,3
recovery,7
successful,5
mark,7
peak,3
btw,10
shirt,15
snacks,2
touching,7
dear,9
keep,222
respect,54
monster,6
impressive,11
anyone,79
name,48
track,11
around,52
46,10
50,17
stunning,23
brilliantly,3
told,16
produced,10
loved,104
boss,2
understatement,4
💪🏼,2
beast,17
ever,105
five,5
months,14
ago,32
left,19
leg,9
open,14
lower,5
fracture,2
coming,66
seen,66
beautifully,31
determined,3
looking,77
part,53
living,21
powerful,18
fantastic,102
focus,3
journey,28
amazingly,5
warrior,6
aspects,3
take,66
opportunity,7
encouraging,3
others,17
source,3
hugs,2
relatively,4
speaking,6
attractive,2
hardly,4
limits,2
body,10
mission,10
possible,20
much,205
relatable,2
dealing,2
losing,3
injury,4
grief,2
sadness,2
harder,5
explain,6
everest,3
3x,3
worn,4
congratulations,20
adds,3
nice,194
documentary,24
recovering,4
shoulder,8
condition,4
hopefully,19
recover,6
full,38
range,4
goosebumps,10
words,21
let,41
everyone,71
movie,61
started,18
channel,18
huge,30
contribution,2
culture,19
world,106
decide,6
nobody,8
deserves,7
credit,5
supportive,2
im,13
spain,5
shake,7
get,248
incredible,77
grit,5
determination,7
incredibly,13
tells,4
better,96
go,170
ps,3
two,51
jobs,6
trainer,3
kitchen,2
area,16
tiny,2
house,11
mountains,13
💪🏻,6
sense,21
superb,27
mechanical,2
nothing,49
average,11
legend,71
tortured,2
soul,13
fascinating,6
peace,9
jus,2
far,44
smile,26
stay,25
omg,14
commended,3
original,6
raised,2
bar,10
astonishing,4
honesty,5
overwhelming,2
watched,55
given,9
form,6
100,22
simon,11
legends,19
long,65
job,97
guys,287
bit,56
somehow,8
necessary,4
kind,43
clothes,16
got,98
wee,4
freaking,8
bang,2
ultra,13
humans,10
could,89
idea,29
multiple,3
sports,16
injuries,3
included,3
12,15
surgeries,2
lose,9
certainly,9
exactly,15
learning,5
helping,3
passion,26
moved,7
admiration,2
first,108
inspires,11
chapeau,45
loves,12
cycle,30
pushes,2
themself,2
athlete,10
level,25
👏👏,3
today,30
xxx,2
parent,2
company,12
foreign,2
land,10
fed,3
basic,2
food,7
loving,35
cook,2
spent,11
endless,3
hours,17
chase,5
asking,5
sidelines,2
wolf,3
board,2
handsome,3
perfect,35
masterpiece,9
bravo,43
bike,316
shattered,2
car,24
literally,6
wishing,3
things,40
hard,66
liked,9
sending,4
big,67
hug,3
lots,14
thankyou,3
finished,10
follows,2
unhappy,3
reasons,9
granted,5
seemingly,2
lack,9
actual,10
racing,128
footage,29
due,12
protagonist,2
makers,4
cyclists,61
build,7
narrative,4
unfortunately,8
ends,7
atmospheric,2
outstanding,20
admire,4
hats,15
deep,10
hit,17
biking,13
hospital,3
getting,40
fortunate,3
albeit,2
piece,31
dream,16
maybe,32
achieved,2
nicely,13
believe,14
hills,8
near,10
miles,17
stop,32
kudos,22
place,51
emotions,15
throughout,10
entire,15
supporting,9
pieces,6
sad,20
chapeaux,2
california,6
honored,2
conversation,3
road,103
tailwind,2
questions,3
videography,3
indeed,13
upmost,2
humble,14
driven,4
completes,2
definitely,29
mad,14
cracking,7
👏🏻,6
den,5
ich,9
je,2
habe,2
crying,20
emotionally,2
ones,12
i’ve,25
sooo,8
follow,18
candor,3
that’s,23
totally,34
speechless,2
date,11
professional,20
fastest,3
strongest,2
want,152
pay,11
whether,7
men,16
matter,24
amateur,6
available,16
old,51
plain,5
simple,13
equality,3
equal,5
male,2
20,23
stages,6
versus,2
version,18
10,36
blame,4
girls,16
fight,6
uci,6
secondary,2
meeting,7
males,5
van,22
buses,5
director,10
talk,51
tactics,6
division,2
leagues,2
major,4
remember,29
womans,2
marathon,4
la,51
olympics,7
turning,4
point,31
request,3
distance,9
performance,11
lame,10
many,74
crashes,3
horrible,3
brakes,7
stage,27
took,16
instead,18
almost,18
peloton,20
watts,3
smiling,7
talking,33
willingness,2
hate,18
tdf,15
harsh,5
brutal,11
rare,5
lael,114
wilcox,7
insight,13
sacrifices,2
training,12
👏👏👏👏👏,2
polished,2
insights,8
favorite,35
riders,148
epic,102
continued,3
support,30
pleased,2
tour,114
giving,16
higher,3
profile,5
times,46
confusing,2
particular,3
33,3
various,4
versions,2
2013,3
fact,15
organised,2
achievements,3
grande,10
2006,2
amount,8
campaign,6
representation,4
de,86
france,25
telling,15
dedication,3
heart,21
article,3
playlist,3
doc,7
heard,14
ambient,2
sound,24
hearing,20
scenes,11
dynamic,3
special,26
excellent,36
biased,2
total,12
enjoying,12
striking,2
account,2
important,13
young,20
complain,3
passing,5
ask,13
mom,6
idiot,5
tom,9
brady,2
subtitles,8
added,5
saw,27
minutes,21
42,3
minute,21
school,22
tours,7
goooo,2
notes,2
cinematography,18
shown,7
storytelling,5
matters,7
bet,9
rights,2
regardless,4
fought,2
personality,4
background,16
example,13
female,9
athletes,9
inspire,22
pls,5
different,31
view,17
interesting,30
exciting,9
mean,24
actually,24
bikes,87
bob,2
book,9
instantly,3
bigger,9
fan,31
finger,3
crossed,2
mostly,3
paid,5
sponsors,17
exist,3
needs,44
return,5
romantic,2
value,5
feels,20
short,55
there’s,5
le,7
00,17
smashing,4
ladies,5
perspective,18
competitors,3
straight,11
2019,15
didn’t,15
anything,22
couple,21
later,13
happen,19
result,12
covid,6
scene,12
gopro,2
machine,8
wtf,10
nostalgia,2
dei,4
legion,49
congrats,27
vid,63
weird,9
constantly,3
cultural,3
difference,11
younger,2
crit,17
champions,4
justin,39
changing,9
🙌🏻,4
gorgeous,13
accomplished,2
absolute,36
game,20
faces,2
whenever,4
l39ion,10
represent,5
fun,59
move,7
heads,5
rent,3
free,12
handling,3
keeping,15
cool,134
standing,4
speed,10
deserve,2
success,10
thats,14
family,23
william,2
friend,12
class,27
communicates,2
rad,19
power,12
character,8
proves,3
american,23
become,12
understood,2
hollywood,2
urban,4
approach,9
problem,15
teams,28
letter,2
brand,30
timing,3
eh,3
haters,5
ups,3
l39gion,3
haha,19
noticed,7
cheeky,2
opening,5
shot,45
williams,12
brothers,21
crisp,3
colors,4
pop,3
creating,8
ya,15
top,58
notch,5
dying,3
dudes,27
european,6
amateurs,2
section,6
jealous,2
failed,3
black,34
owner,2
white,15
dominated,2
post,11
hey,13
selling,3
boxing,2
gear,31
anytime,3
shitty,3
money,39
fighting,2
incident,2
prize,2
lions,2
issues,5
everywhere,6
awful,6
kool,2
expecting,5
match,5
photographed,2
substance,3
genuinely,6
edit,22
let’s,4
artist,4
offer,4
jerseys,11
based,6
klier,5
paintings,3
08,4
music,85
tube,4
andreas,3
leadership,3
style,30
rally,2
painting,4
thinking,13
clarity,2
cerebral,3
type,9
ds,3
subtle,2
encouragement,3
edition,3
jersey,47
mr,5
collab,4
certified,2
👍🏼,4
guy,90
knows,13
damn,31
limited,3
ef,302
kit,68
design,6
location,7
shots,17
water,20
none,8
racers,9
seem,17
interest,5
yap,2
explains,2
yep,3
vibe,10
excelente,6
saludos,7
👌🏻,4
raced,8
clean,9
charging,3
junior,9
least,30
jv,11
sect,3
drop,12
strickland,6
series,85
insightful,2
evolving,4
72,2
mtn,2
three,20
bring,18
joe,5
blow,2
slow,13
connection,4
elite,7
humility,3
emily,4
lachlan,320
alex,40
fucking,31
eaten,2
another,78
pure,26
biker,4
might,26
mountain,36
editing,26
abruptly,2
stopped,8
wondering,8
purpose,8
conclusion,3
yeah,39
gravel,37
send,10
directors,3
graphic,2
designers,2
course,22
germany,3
reason,15
pretty,37
discovered,5
forced,2
slowly,3
claw,2
fully,8
centuries,2
efforts,6
beating,2
records,2
climbs,9
switzerland,2
solid,7
performances,2
despite,11
obstacles,3
came,28
across,29
recognition,3
winners,4
lachy,55
positive,15
note,11
wide,7
format,6
touch,7
provide,2
aspirational,2
aw,2
badass,8
armstrong,13
compare,3
worse,8
generation,8
chill,6
kids,13
leave,18
nike,4
commercial,5
memory,3
forgotten,2
advantage,2
met,16
acts,2
ambassadors,4
sweet,12
fabulous,10
teenager,2
waiting,25
complete,8
sentence,3
cheering,11
y’all,5
we’ll,2
arse,3
song,51
poc,7
glasses,8
went,19
colombia,24
greatest,8
country,24
hands,19
fire,8
et,3
al,12
effort,30
talents,2
accomplishment,3
takes,20
compete,5
less,24
personal,9
perspectives,3
worth,23
cut,16
fallen,4
illness,2
helped,10
saddle,10
americans,11
saying,19
ten,3
seconds,9
drinking,8
min,7
proud,14
hello,10
kenya,11
suleiman,2
kangangi,2
rest,20
ending,9
wanted,13
fits,4
change,21
constant,4
gonna,24
miss,25
hype,6
train,8
unique,10
luck,32
plays,2
chapter,2
action,2
pros,6
upload,6
question,15
running,13
run,20
easier,10
advance,5
dead,7
motivated,6
century,3
double,3
11,10
55,5
bringing,5
cinematic,6
stunner,2
dig,12
alternative,75
calender,3
depressing,2
quick,5
36,5
complaining,2
throw,4
putting,14
showcasing,2
uniquely,2
north,11
season,33
appreciate,21
marketing,22
struggle,7
normal,13
drone,2
gone,33
pink,29
30,25
engaging,4
folks,9
seems,42
solo,7
events,30
process,3
adventures,9
group,27
hero’s,2
downs,2
eye,8
finally,21
che,7
bello,6
01,3
loveland,2
pass,13
ski,4
lachlan’s,5
forever,18
ralph,2
they’re,10
delight,2
festival,2
tickets,2
https,30
com,27
19,13
2022,5
descent,2
feature,4
afterwards,2
chills,6
trailer,4
experience,47
can’t,32
tear,6
lost,18
intense,4
step,3
dang,4
comes,12
cant,18
nails,3
business,8
🙏🏻,2
nie,2
co,5
man,103
👏👏👏👏,2
ppl,2
claim,3
individuality,2
terms,3
rocket,4
science,4
positivity,3
read,15
internet,9
pro,99
era,10
aspect,7
ignite,2
within,7
amen,2
sunshine,4
coast,4
australia,8
relevant,2
paths,4
ways,7
dont,12
designs,2
bunch,16
boys,26
cuz,4
theres,5
lol,63
ooh,4
truth,6
introducing,3
football,3
diverse,2
current,6
negative,3
media,8
society,3
boring,15
round,7
stick,4
calendar,45
grand,17
tradition,3
whatever,17
transition,3
welcoming,4
legs,13
lift,2
remove,2
exists,2
heroes,7
sounds,8
national,5
diversity,10
competition,4
emotion,10
motivation,23
twice,10
over…,2
typical,2
cyclers,2
cory,12
past,13
express,2
flow,2
são,2
brazil,4
found,16
yt,3
ok,8
comfortable,3
english,6
language,4
200,9
un,21
