description,duration,keywords,likes,release_time,title,video_id,view_count
https://www.rapha.cc/stories/legion-o...,77,rapha,1072,2021年6月29日,Transcend the bubble – L39ION of Los Angeles,6s6ugDDU94s,34402
"She started out riding her bike to work, then discovered she could get across town before eventually travelling all the way to the next city to see her sister. Now, Lael Wilcox is an ultra-distance racer renowned as a fierce competitor on the bike and one of the friendliest people you’re ever likely to meet off it. In an episode of Rapha Gone Racing that has been a long time in the making, we follow Lael to the home of gravel racing in Emporia, Kansas for Unbound Gravel, a race reborn after a year out in 2020. Only this time we’re going long… 

With a 350-mile course, Unbound XL gets back to the self-supported spirit of gravel racing and requires riders to race through the night. In recent years, the event has been attracting increasing numbers of women and through her riding Lael hopes to encourage even more to take the start and believe that they can compete with the whole field, not just other women. That’s what Lael does and for any women out there watching, she has a simple message: “If I can do it, so can you.”

",623,"rapha,Inbound gravel,Xl,Unbound,Kansas,Dirty Lanza,2021,Lael wilcox,Women,Men,Gravel,Race,Documentary",4573,首播开始于 2021年7月17日,Rapha Gone Racing - Unbound Gravel XL,rrqAMz4KFho,178907
"Tulsa Tough is an annual three-day cycling festival set in Tulsa, Oklahoma. Home to huge crowds and a notoriously generous prize purse, it’s a favoured venue for some of America’s biggest crit racing talents – drawing the nation’s best riders to its tight and tumultuous street circuits. 

In 2019, the races played host to the then-new L39ION of Los Angeles team. This year, Justin and Cory Williams, together with their diverse band of talented racers and a newly-formed women’s team, returned to Tulsa on the hunt for repeat success. With a clutch of wins as well as the overall for both the men’s and women’s categories, it’s safe to say the squad made their mark (again) in Oklahoma. Gone Racing goes behind the scenes to cover the three days of action – and inspiration – from L39ION’s perspective. 

",1540,"rapha,legion,legion of los angeles,la,l.a,los angeles,cycling,criterium,tulsa tough,tulsa,Oklahoma,racing,2021,justin williams,cory williams,tyler williams,skylar schneider,gone racing",5414,首播开始于 2021年7月27日,Rapha Gone Racing - Tulsa Tough,5nP8J0D0ynA,166638
"Four feet wide and carried five above the ground by a seemingly endless series of stanchions, the Alaska Pipeline is, for most of its 800-mile route, the only mark humanity has made on the pristine wilderness of this last frontier. The only mark, that is, except for the road that accompanies the pipeline on its long journey south from the Artic outpost of Prudhoe Bay to Valdez. 

For born and bred Alaskan Lael Wilcox, this lonely road has always held a special interest. In fact, she’s ridden most of it before. But this time she’s back with a new challenge to set a Fastest Known Time, or FKT, for the route and bring a new source of energy to the road. By pushing herself, she hopes to encourage other riders, wherever they live and however long they’ve been riding, to do the same. 

But this is a record attempt not a race, so Lael’s number one adjective is to have fun. All you have to do is show up with what you have, ride with all your heart and see how it goes. Oh, and you need to eat like it’s your job! Created by an all-female crew, tune into this latest episode of Rapha Gone Racing to find out how Lael got on in the Alaskan wilderness and whether the rumours that she is quicker than crude oil are actually true.

",1271,"rapha,rapha gone racing,gone racing,cycling,lael wilcox,lael,wilcox,ultra cyclist,ultra cycing,alaska,alaska pipeline,fkt,fastest known time",5535,首播开始于 2021年9月28日,Rapha Gone Racing - Alaska Pipeline FKT,oHEN9WpVayc,211562
"Break down barriers, make new friends. Go for the win, but learn more by losing. Find time for yourself, make space for others. Get out of your head and into the world. Whether you do it for yourself or for others, for a breath of fresh air or a break from reality, in spite of the weather or perhaps because of it, our message is simple. Keep Riding.",60,rapha,1158,2021年9月30日,Rapha - Keep Riding,oXAcFnwyfpI,62989
"Crisscrossing the Continental Divide for 2,750 miles between Banff in the Canadian Rockies and Antelope Wells on the Mexican border, the Great Divide is one the world’s most iconic long distance mountain biking routes. On this sky high trail, there’s no such thing as a regular ride. But even by ultra cycling standards, Lael Wilcox’s history on the route is a colourful one. 

In 2015, Lael raced the Tour Divide – an event that follows the route – and set a new women’s course record despite having to ride herself to an emergency room en route to deal with a persistent breathing issue. But rather than celebrating her achievement, Lael set out to better it. Just two weeks later, she rode to the start from her home in Alaska, took on the trail for a second time and lowered her own record by another day and a half. 

Today, the outright course record is held by the late long-distance legend Mike Hall, whose time of 13 days 22 hours and 51 minutes has stood since 2016. Inspired by Mike’s methodical approach to managing the mileage but convinced she can beat the record, Lael is returning the Rockies with unfinished business. In the latest episode of Rapha Gone Racing, we document her latest record attempt and follow her as she runs into issues much bigger than any bike ride. 

",1325,"rapha,lael wilcox,ultra,ultra distance,bikepacking,tour divide,ITT,FKT,fastest known time,mike hall,gone racing,ef gone racing,film",4272,首播开始于 2021年10月12日,Rapha Gone Racing - Tour Divide,h0hkoee6sI8,190753
"It takes a lot to be a cyclist sometimes, but being a mother takes everything you’ve got. Having raced for her national team and ridden around the world, Kirsti Ruud knows what it’s like to make sacrifices for your sport, to put cycling first and forget about everything else. But nothing stays the same forever. After experiencing a loss that saw her step away from the sport altogether, a new chapter in Kirsti’s life has begun. As a new mother, she’s engaging with cycling in a new way and enjoying it more than ever.",240,rapha,1215,2021年10月18日,Keep Riding - Kirsti Ruud,M9YTjqdgfsQ,39350
"It’s late October and Lachlan Morton has just finished the 2020 Giro d’Italia when his team principal Jonathon Vaughters calls. “What do you think about riding another Grand Tour next season?” he asks. Lachlan’s not sure. “Don’t worry,” comes the reply. “This isn’t going to be like anything you’ve done before. We’ve got something else planned. You in?”

The Alt Tour. Every stage and every transfer of the 2021 Tour solo. 5,550km from Brest to Paris with over 65,000 metres of climbing and just 23 days to cover the distance. No teammates to shelter behind, no mechanics and no rest days. This was a challenge made for Lachlan Morton. Of course he was in but could he last out? 

If you followed Lachlan’s dot in July, then this is the film you’ve been waiting for. Join us as the latest episode of Rapha Gone Racing takes you inside Lachlan’s ambitious attempt to complete the Alt Tour, beat the peloton back to Paris and raise funds for World Bicycle Relief. 

As well as riding for a fresh perspective on road racing, Lachlan rode the Alt Tour with a powerful new purpose. To make every kilometre really count, Rapha and EF Education First combined to donate 1000 bikes to World Bicycle Relief before inviting those following Lachlan to support the cause. With help from fans around the world, Lachlan managed to raise over £500,000 and counting. If you’re inspired by Lachlan’s challenge, you can still donate to WBR and help provide even more people with the bikes they need to access education, healthcare or employment. 

",2271,"rapha,ef gone racing,gone racing,lachlan morton,lachy,2021,tour de france,alt tour,alternative tour,alt calendar,alternative calendar,self supported,ultra,1903 tour de france",9359,首播开始于 2021年10月26日,Rapha Gone Racing - The Alt Tour,VrMx_JooERQ,317052
"So often in sport success requires an unstinting focus from athletes whose merit is measured in milliseconds saved and medals won. The joy of just being a part of it all seems to have been lost on many of us, but not on Isaac Wallen. Despite growing up in the mountain biking haven of Santa Cruz, bikes were never part of the picture in Isaac’s early years. With a surfer for a father and skaters turned filmmakers for friends, he always had interests beyond riding. Over time, mountain biking has come to mean so much more to Isaac but his mix-it-up mentality remains. Far removed from meaningless metrics, success for Isaac is simple and he feels it every time he rides.",227,rapha,469,2021年11月9日,Keep Riding - Isaac Wallen,DeR3KH7FtbM,22043
"From early spring to autumn, start gate to finish line, the world of enduro racing is intense. Around every corner, through every pedal section and down every drop, there’s reward for those prepared to push and risk for those who push too hard. In winter, however, things slow down. Nature regenerates, and so do we. It’s a time to relax, re-evaluate and rebuild. A time to switch off, before switching on again. After several race seasons on the EWS circuit, Ella Conolly knows this well, and on her home trails in Scotland she’s focused on one thing: the section straight ahead of her.",161,rapha,507,2021年12月9日,Keep Riding - Ella Conolly,_uZomXS0wV8,23560
"Welcome to the world’s toughest mountain bike race. Over seven stages and a prologue, on sinuous single track and dusty farm roads, under glaring South African sun and the odd sudden downpour, the Cape Epic always crowns a worthy winner. Two, in fact, since riders race in pairs. But we know all this… We’ve been here before, and 18 months after the pandemic put paid to our first appearance at the Cape Epic, Rapha Gone Racing returns for a second attempt. But so much has changed since last time. For a start, none of Lachlan Morton’s regular teammates could make it to this race so the team has reached out for reinforcements. And in Kenya’s Kenneth Karaya, they’ve uncovered a gem. This will be the biggest race of his life so far but in Lachlan Morton, he has the perfect partner for keeping things in perspective. After all, racing is never all about results. Tune into Rapha Gone Racing from the Cape Epic to find out how they fared. 

",1363,"rapha,ef gone racing,rapha gone racing,gone racing,cape epic,absa,2021,2020,mountain bike,mtb,ef education,documentary,absa cape epic,stage race,wahoo frontiers,kenneth karaya,team amani",3781,首播开始于 2021年12月14日,Rapha Gone Racing - Cape Epic 2021,TG-app2HQR0,123669
"You have a little bit of everything in Los Angeles. Diversity, opportunity, creativity, it’s all at your fingertips. But there are two versions of this city: there’s Hollywood, and then there’s the multi-faceted, beautifully complex reality. Born and raised in LA, Ron Holden feels like he owes the city everything but at the same time, he’s always been missing something. Following Black Lives Matter protests in 2020, he offered his company the opportunity to make meaningful change but got nowhere. So instead, he quit his job and founded a movement that allows its members to go anywhere. Ride for Black Lives organises open-to-all group rides through town that spread the message of equality. It welcomes riders from all walks of life, it bridges the gap between communities, and it’s what keep Ron riding each and every day.",320,"rapha,los angeles,la,BLM,Ride for black lives,Cycling,Culture,Future,Positive message",1110,2021年12月17日,Keep Riding - Ron Holden,mIWcnYQ5pzY,34487
"For most cyclists, riding is all about enjoying the freedom. It’s about the ability to roam wherever you want, to climb to new heights and forge new friendships. Getting his first road bike whilst at university, Josh Jones found this joy and liberation for himself. But while finding it, he also found very few people from his own community. By setting up the competitive cycling initiative ALL IN racing, Josh is helping to increase visibility and inclusivity for LGBT+ riders in the sport. Determined to take the positive energy he’s found in cyclocross to the other areas of cycling, ALL IN racing helps organisations and teams become a force for positive change.

To promote positive change, ALL IN racing and Rapha have brought rainbow socks to cycling. Check them out here: www.allinracing.org/product-page/rainbow-socks.",196,rapha,646,2022年1月12日,Keep Riding - Josh Jones,t9JCgAd3aec,27534
"From setback to superpower, Maghalie Rochette’s educational new ‘Menstrual Health Series’ is helping to shift the perspective on periods. Part of her Fever Talk podcast, the series educates and encourages riders to harness the power of their period, and improve their performance in doing so, opening up a crucial conversation usually held behind closed doors.

After learning that understanding the strength of your cycle allows you to use it to your competitive advantage, Maghalie’s view on periods changed. Changing our mentality toward something, she discovered, can change us physically. In her research, Maghalie found that during a period, you are in fact ‘most primed for exercise because that’s where your hormone levels are lower’. She discusses the whole spectrum of the cycle, from those who have periods to those that do not, and is working to break down any shame or uncertainty that usually surrounds the subject.",392,rapha,870,2022年1月27日,Keep Riding - Maghalie Rochette,UlytSvGI7QU,30459
